LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,5,,0,0.0,MEDIUM,True,0,0 days 00:15:26.555000,0.0,,0.0,
,10,,0,0.0,MEDIUM,True,0,0 days 00:15:36.564000,0.0,,0.0,
,6,,0,0.0,MEDIUM,True,0,0 days 00:15:41.571000,0.0,,0.0,
,4,,0,0.0,MEDIUM,True,0,0 days 00:15:46.586000,0.0,,0.0,
,22,,0,0.0,MEDIUM,True,0,0 days 00:15:46.586000,0.0,,0.0,
,81,,0,0.0,MEDIUM,True,0,0 days 00:15:46.586000,0.0,,0.0,
,14,,0,0.0,MEDIUM,True,0,0 days 00:15:51.595000,0.0,,0.0,
,18,,0,0.0,MEDIUM,True,0,0 days 00:15:56.597000,0.0,,0.0,
,1,,0,0.0,MEDIUM,True,0,0 days 00:16:01.611000,0.0,,0.0,
,30,,0,0.0,MEDIUM,True,0,0 days 00:16:06.605000,0.0,,0.0,
,7,,0,0.0,MEDIUM,True,0,0 days 00:16:16.609000,0.0,,0.0,
,63,,0,0.0,HARD,True,0,0 days 00:16:21.620000,0.0,,0.0,
,12,,0,0.0,HARD,True,0,0 days 00:16:26.638000,0.0,,0.0,
,44,,0,0.0,UNKNOWN,False,0,0 days 00:16:26.638000,0.0,,0.0,
,16,,0,0.0,UNKNOWN,False,0,0 days 00:16:31.649000,0.0,,0.0,
,16,,0,,MEDIUM,True,,0 days 00:16:36.648000,,,,
,44,,0,,MEDIUM,True,,0 days 00:16:42.022000,,,,
,27,,0,0.0,MEDIUM,True,0,0 days 00:16:51.664000,0.0,,0.0,
,5,,0,1.0,,,,0 days 00:17:06.656000,,,,
,10,,0,1.0,,,,0 days 00:17:11.655000,,,,
,31,,0,0.0,UNKNOWN,False,0,0 days 00:17:21.665000,0.0,,0.0,
,6,,0,1.0,,,,0 days 00:17:26.666000,,,,
,31,,0,,MEDIUM,True,,0 days 00:17:26.666000,,,,
,22,,0,1.0,,,,0 days 00:17:36.668000,,,,
,14,,0,1.0,,,,0 days 00:17:41.668000,,,,
,18,,0,1.0,,,,0 days 00:17:51.665000,,,,
,1,,0,1.0,,,,0 days 00:17:56.677000,,,,
,63,,0,1.0,,,,0 days 00:18:01.670000,,,,
,4,,0,1.0,,,,0 days 00:18:06.668000,,,,
,81,,0,1.0,,,,0 days 00:18:16.669000,,,,
,30,,0,1.0,,,,0 days 00:18:21.669000,,,,
,5,,0,2.0,,,,0 days 00:18:26.675000,,,,
,7,,0,1.0,,,,0 days 00:18:26.675000,,,,
3.0,5,0 days 00:01:20.323000,0,,,,,0 days 00:18:26.675000,3.0,,,
,10,,0,2.0,,,,0 days 00:18:31.670000,,,,
,44,,0,1.0,,,,0 days 00:18:31.670000,,,,
,5,,0,,,,,0 days 00:18:32.120000,1.0,,,
3.0,10,0 days 00:01:19.146000,0,,,,,0 days 00:18:32.120000,3.0,,,
,16,,0,1.0,,,,0 days 00:18:41.671000,,,,
,6,,0,2.0,,,,0 days 00:18:46.671000,,,,
3.0,6,0 days 00:01:18.554000,0,,,,,0 days 00:18:46.678000,3.0,,,
,10,,0,,,,,0 days 00:18:46.678000,1.0,,,
,12,,0,1.0,,,,0 days 00:18:51.678000,,,,
,55,,0,0.0,MEDIUM,True,0,0 days 00:18:51.678000,0.0,,0.0,
,22,,0,2.0,,,,0 days 00:18:56.678000,,,,
,6,,0,,,,,0 days 00:18:56.755000,1.0,,,
3.0,22,0 days 00:01:17.949000,0,,,,,0 days 00:18:56.755000,3.0,,,
,14,,0,2.0,,,,0 days 00:19:01.678000,,,,
,27,,0,1.0,,,,0 days 00:19:01.678000,,,,
3.0,14,0 days 00:01:18.512000,0,,,,,0 days 00:19:01.825000,1.0,,,
,18,,0,2.0,,,,0 days 00:19:06.693000,,,,
,27,,1,1.0,MEDIUM,False,1,0 days 00:19:06.693000,0.0,,1.0,
3.0,18,0 days 00:01:18.858000,0,,,,,0 days 00:19:06.830000,1.0,,,
,1,,0,2.0,,,,0 days 00:19:16.694000,,,,
,23,,0,0.0,MEDIUM,True,0,0 days 00:19:16.694000,0.0,,0.0,
,31,,0,1.0,,,,0 days 00:19:16.694000,,,,
3.0,1,0 days 00:01:18.510000,0,,,,,0 days 00:19:17.012000,1.0,,,
,63,,0,2.0,,,,0 days 00:19:21.691000,,,,
3.0,63,0 days 00:01:18.104000,0,,,,,0 days 00:19:21.717000,1.0,,,
,4,,0,2.0,,,,0 days 00:19:26.696000,,,,
3.0,4,0 days 00:01:17.671000,0,,,,,0 days 00:19:26.923000,3.0,,,
,22,,0,,,,,0 days 00:19:26.923000,1.0,,,
,81,,0,2.0,,,,0 days 00:19:31.695000,,,,
3.0,81,0 days 00:01:18.206000,0,,,,,0 days 00:19:32.023000,1.0,,,
,30,,0,2.0,,,,0 days 00:19:41.696000,,,,
3.0,30,0 days 00:01:19.172000,0,,,,,0 days 00:19:41.915000,1.0,,,
,7,,0,2.0,,,,0 days 00:19:46.691000,,,,
3.0,7,0 days 00:01:19.425000,0,,,,,0 days 00:19:46.691000,1.0,,,
,44,,0,2.0,,,,0 days 00:19:51.696000,,,,
3.0,44,0 days 00:01:18.546000,0,,,,,0 days 00:19:51.778000,1.0,,,
,16,,0,2.0,,,,0 days 00:20:01.713000,,,,
3.0,16,0 days 00:01:18.434000,0,,,,,0 days 00:20:02.170000,1.0,,,
,12,,0,2.0,,,,0 days 00:20:06.720000,,,,
3.0,12,0 days 00:01:19.277000,0,,,,,0 days 00:20:06.720000,1.0,,,
,55,,0,1.0,,,,0 days 00:20:26.694000,,,,
,31,,0,2.0,,,,0 days 00:20:31.699000,,,,
3.0,31,0 days 00:01:19.576000,0,,,,,0 days 00:20:31.753000,1.0,,,
,10,,0,3.0,,,,0 days 00:20:46.705000,,,,
,27,,1,2.0,,,,0 days 00:20:51.696000,,,,
,5,,0,3.0,,,,0 days 00:20:56.695000,,,,
,14,,0,3.0,,,,0 days 00:21:01.714000,,,,
,6,,0,3.0,,,,0 days 00:21:06.698000,,,,
,23,,0,1.0,,,,0 days 00:21:06.698000,,,,
,18,,0,3.0,,,,0 days 00:21:16.699000,,,,
,22,,0,3.0,,,,0 days 00:21:16.699000,,,,
,1,,0,3.0,,,,0 days 00:21:36.715000,,,,
,55,,0,2.0,,,,0 days 00:21:46.701000,,,,
,63,,0,3.0,,,,0 days 00:21:46.701000,,,,
3.0,55,0 days 00:01:20.227000,0,,,,,0 days 00:21:46.773000,1.0,,,
,4,,0,3.0,,,,0 days 00:21:51.698000,,,,
,81,,0,3.0,,,,0 days 00:22:01.702000,,,,
,10,,0,4.0,,,,0 days 00:22:06.700000,,,,
,30,,0,3.0,,,,0 days 00:22:06.700000,,,,
,27,,1,3.0,,,,0 days 00:22:11.711000,,,,
,44,,0,3.0,,,,0 days 00:22:11.711000,,,,
4.0,27,0 days 00:01:18.846000,1,,,,,0 days 00:22:11.773000,1.0,,,
5.0,5,0 days 00:01:19.470000,0,,,,,0 days 00:22:13.838000,,,,
,5,,0,4.0,,,,0 days 00:22:16.716000,,,,
,7,,0,3.0,,,,0 days 00:22:16.716000,,,,
5.0,14,0 days 00:01:18.161000,0,,,,,0 days 00:22:18.928000,,,,
,12,,0,3.0,,,,0 days 00:22:21.714000,,,,
,14,,0,4.0,,,,0 days 00:22:21.714000,,,,
,16,,0,3.0,,,,0 days 00:22:21.714000,,,,
,23,,0,2.0,,,,0 days 00:22:26.714000,,,,
3.0,23,0 days 00:01:19.239000,0,,,,,0 days 00:22:26.954000,1.0,,,
5.0,18,0 days 00:01:18.246000,0,,,,,0 days 00:22:32.598000,,,,
,18,,0,4.0,,,,0 days 00:22:36.719000,,,,
,31,,0,3.0,,,,0 days 00:22:41.707000,,,,
5.0,1,0 days 00:01:17.893000,0,,,,,0 days 00:22:53.196000,,,,
,1,,0,4.0,,,,0 days 00:22:56.718000,,,,
,4,,0,,,,,0 days 00:23:01.280000,1.0,,,
5.0,63,0 days 00:01:17.565000,0,,,,,0 days 00:23:01.280000,3.0,,,
,6,,0,4.0,,,,0 days 00:23:01.713000,,,,
,63,,0,4.0,,,,0 days 00:23:01.713000,,,,
5.0,81,0 days 00:01:17.722000,0,,,,,0 days 00:23:14.796000,,,,
,22,,0,4.0,,,,0 days 00:23:16.715000,,,,
,81,,0,4.0,,,,0 days 00:23:16.715000,,,,
5.0,30,0 days 00:01:18.729000,0,,,,,0 days 00:23:20.659000,,,,
,30,,0,4.0,,,,0 days 00:23:21.718000,,,,
5.0,44,0 days 00:01:18.027000,0,,,,,0 days 00:23:25.716000,,,,
,44,,0,4.0,,,,0 days 00:23:26.717000,,,,
5.0,12,0 days 00:01:18.280000,0,,,,,0 days 00:23:35.614000,,,,
,4,,0,4.0,,,,0 days 00:23:36.711000,,,,
,7,,0,4.0,,,,0 days 00:23:36.711000,,,,
,12,,0,4.0,,,,0 days 00:23:36.711000,,,,
5.0,16,0 days 00:01:17.692000,0,,,,,0 days 00:23:39.226000,,,,
,16,,0,4.0,,,,0 days 00:23:41.714000,,,,
,55,,0,3.0,,,,0 days 00:23:56.722000,,,,
6.0,6,0 days 00:01:18.232000,0,,,,,0 days 00:24:17.005000,,,,
,6,,0,5.0,,,,0 days 00:24:21.727000,,,,
,10,,0,5.0,,,,0 days 00:24:26.726000,,,,
6.0,22,0 days 00:01:17.650000,0,,,,,0 days 00:24:31.187000,,,,
,22,,0,5.0,,,,0 days 00:24:31.720000,,,,
,23,,0,3.0,,,,0 days 00:24:31.720000,,,,
,27,,1,4.0,,,,0 days 00:24:36.712000,,,,
,31,,0,4.0,,,,0 days 00:24:41.726000,,,,
,5,,0,5.0,,,,0 days 00:24:46.727000,,,,
5.0,55,0 days 00:01:17.302000,0,,,,,0 days 00:25:11.999000,3.0,,,
,63,,0,,,,,0 days 00:25:11.999000,1.0,,,
,55,,0,4.0,,,,0 days 00:25:16.725000,,,,
,81,,0,5.0,,,,0 days 00:25:26.734000,,,,
,63,,0,5.0,,,,0 days 00:25:31.742000,,,,
,4,,0,5.0,,,,0 days 00:25:36.734000,,,,
7.0,10,0 days 00:01:18.499000,0,,,,,0 days 00:25:40.603000,,,,
,10,,0,6.0,,,,0 days 00:25:41.735000,,,,
,30,,0,5.0,,,,0 days 00:25:41.735000,,,,
5.0,23,0 days 00:01:17.648000,0,,,,,0 days 00:25:45.182000,,,,
,23,,0,4.0,,,,0 days 00:25:46.734000,,,,
,7,,0,5.0,,,,0 days 00:25:56.728000,,,,
6.0,31,0 days 00:01:18.989000,0,,,,,0 days 00:25:59.457000,,,,
,12,,0,5.0,,,,0 days 00:26:01.727000,,,,
,31,,0,5.0,,,,0 days 00:26:01.727000,,,,
7.0,5,0 days 00:01:18.706000,0,,,,,0 days 00:26:02.582000,,,,
,5,,0,6.0,,,,0 days 00:26:06.726000,,,,
,12,,1,5.0,HARD,False,1,0 days 00:26:06.726000,0.0,,5.0,
,16,,0,5.0,,,,0 days 00:26:06.726000,,,,
,16,,1,0.0,UNKNOWN,False,1,0 days 00:26:11.743000,0.0,,0.0,
,44,,0,5.0,,,,0 days 00:26:16.743000,,,,
,16,,1,5.0,MEDIUM,,,0 days 00:26:21.743000,,,5.0,
,44,,1,5.0,MEDIUM,False,1,0 days 00:26:21.743000,0.0,,5.0,
,6,,0,6.0,,,,0 days 00:26:26.743000,,,,
7.0,63,0 days 00:01:17.303000,0,,,,,0 days 00:26:47.940000,,,,
,63,,0,6.0,,,,0 days 00:26:51.743000,,,,
7.0,4,0 days 00:01:17.475000,0,,,,,0 days 00:26:53.832000,,,,
,4,,0,6.0,,,,0 days 00:26:56.736000,,,,
7.0,7,0 days 00:01:18.199000,0,,,,,0 days 00:27:12.378000,,,,
,7,,0,6.0,,,,0 days 00:27:16.746000,,,,
,81,,0,6.0,,,,0 days 00:27:21.743000,,,,
,30,,0,6.0,,,,0 days 00:27:31.744000,,,,
