Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:09.284000,1,1,,
0 days 00:10:56.032000,1,2,,
0 days 00:11:26.322000,1,3,,
0 days 00:11:35.817000,1,4,,
0 days 00:11:40.333000,1,5,,
0 days 00:11:48.366000,1,6,,
0 days 00:12:37.714000,1,7,,
0 days 00:12:41.091000,1,8,,
0 days 00:22:02.583000,1,9,,
0 days 00:22:06.231000,1,10,,
0 days 00:22:06.513000,1,11,,
0 days 00:22:09.928000,1,12,,
0 days 00:25:33.672000,1,13,,
0 days 00:29:28.948000,1,1,,
0 days 00:33:07.214000,1,2,,
0 days 00:35:34.693000,1,1,,
0 days 00:48:16.976000,1,2,,
0 days 00:50:12.542000,1,3,,
0 days 00:53:47.389000,1,4,,
0 days 00:54:57.029000,1,5,,
0 days 00:56:22.230000,1,1,,
0 days 01:02:17.315000,1,2,,
0 days 01:07:46.118000,1,3,,
0 days 00:00:09.284000,4,2,,
0 days 00:10:56.032000,4,3,,
0 days 00:11:26.322000,4,4,,
0 days 00:11:35.817000,4,5,,
0 days 00:11:40.333000,4,6,,
0 days 00:11:48.366000,4,7,,
0 days 00:12:37.714000,4,8,,
0 days 00:12:41.091000,4,7,,
0 days 00:25:11.851000,4,8,,
0 days 00:25:32.788000,4,9,,
0 days 00:29:28.948000,4,10,,
0 days 00:30:35.817000,4,11,,
0 days 00:30:53.613000,4,12,,
0 days 00:31:20.447000,4,5,,
0 days 00:32:07.601000,4,6,,
0 days 00:33:00.025000,4,7,,
0 days 00:33:07.214000,4,8,,
0 days 00:33:32.162000,4,9,,
0 days 00:33:51.977000,4,10,,
0 days 00:34:11.462000,4,11,,
0 days 00:35:43.524000,4,12,,
0 days 00:35:49.465000,4,13,,
0 days 00:36:19.790000,4,14,,
0 days 00:36:27.094000,4,15,,
0 days 00:36:49.484000,4,16,,
0 days 00:37:07.703000,4,2,,
0 days 00:38:11.978000,4,3,,
0 days 00:38:45.449000,4,4,,
0 days 00:39:21.864000,4,5,,
0 days 00:42:36.953000,4,6,,
0 days 00:44:47.675000,4,7,,
0 days 00:45:54.368000,4,8,,
0 days 00:47:27.721000,4,9,,
0 days 00:48:16.976000,4,10,,
0 days 00:50:12.542000,4,2,,
0 days 00:53:47.389000,4,3,,
0 days 00:54:57.029000,4,4,,
0 days 00:56:22.230000,4,5,,
0 days 00:57:11.136000,4,6,,
0 days 01:00:42.792000,4,7,,
0 days 01:00:51.806000,4,8,,
0 days 01:01:29.103000,4,9,,
0 days 01:02:25.708000,4,10,,
0 days 00:00:09.284000,5,3,,
0 days 00:10:56.032000,5,4,,
0 days 00:11:26.322000,5,5,,
0 days 00:11:35.817000,5,6,,
0 days 00:11:40.333000,5,7,,
0 days 00:11:48.366000,5,8,,
0 days 00:12:37.714000,5,9,,
0 days 00:22:02.583000,5,10,,
0 days 00:22:06.231000,5,11,,
0 days 00:22:06.513000,5,12,,
0 days 00:22:09.928000,5,13,,
0 days 00:25:33.672000,5,14,,
0 days 00:27:39.640000,5,15,,
0 days 00:30:53.613000,5,4,,
0 days 00:31:11.661000,5,5,,
0 days 00:31:20.447000,5,6,,
0 days 00:32:07.601000,5,7,,
0 days 00:33:00.025000,5,8,,
0 days 00:33:07.214000,5,9,,
0 days 00:33:32.162000,5,10,,
0 days 00:33:51.977000,5,11,,
0 days 00:34:11.462000,5,12,,
0 days 00:35:43.524000,5,13,,
0 days 00:35:49.465000,5,14,,
0 days 00:36:19.790000,5,15,,
0 days 00:36:27.094000,5,16,,
0 days 00:36:49.484000,5,5,,
0 days 00:37:07.703000,5,6,,
0 days 00:38:45.449000,5,7,,
0 days 00:39:21.864000,5,8,,
0 days 00:41:15.737000,5,9,,
0 days 00:41:59.385000,5,10,,
0 days 00:42:36.953000,5,11,,
0 days 00:47:27.721000,5,12,,
0 days 00:58:26.107000,5,9,,
0 days 01:00:51.806000,5,10,,
0 days 01:01:29.103000,5,11,,
0 days 00:00:09.284000,6,4,,
0 days 00:10:56.032000,6,5,,
0 days 00:11:26.322000,6,6,,
0 days 00:11:35.817000,6,7,,
0 days 00:11:40.333000,6,8,,
0 days 00:11:48.366000,6,5,,
0 days 00:25:11.851000,6,6,,
0 days 00:25:32.788000,6,7,,
0 days 00:29:28.948000,6,8,,
0 days 00:30:35.817000,6,9,,
0 days 00:30:53.613000,6,10,,
0 days 00:31:20.447000,6,11,,
0 days 00:32:07.601000,6,12,,
0 days 00:32:23.567000,6,13,,
0 days 00:33:00.025000,6,14,,
0 days 00:33:51.977000,6,15,,
0 days 00:34:11.462000,6,16,,
0 days 00:36:19.790000,6,17,,
0 days 00:36:27.094000,6,18,,
0 days 00:38:21.638000,6,17,,
0 days 00:41:32.791000,6,10,,
0 days 00:41:59.385000,6,11,,
0 days 00:42:36.953000,6,12,,
0 days 00:47:27.721000,6,13,,
0 days 00:51:37.244000,6,14,,
0 days 00:53:25.916000,6,15,,
0 days 01:00:03.474000,6,16,,
0 days 01:00:35.903000,6,10,,
0 days 01:00:51.806000,6,11,,
0 days 01:01:29.103000,6,12,,
0 days 01:11:57.650000,6,13,,
0 days 00:00:09.284000,7,5,,
0 days 00:10:56.032000,7,6,,
0 days 00:11:26.322000,7,7,,
0 days 00:11:35.817000,7,8,,
0 days 00:11:40.333000,7,9,,
0 days 00:12:37.714000,7,10,,
0 days 00:22:02.583000,7,11,,
0 days 00:22:06.231000,7,9,,
0 days 00:25:32.788000,7,1,,
0 days 00:29:28.948000,7,2,,
0 days 00:30:28.291000,7,3,,
0 days 00:30:35.817000,7,4,,
0 days 00:30:53.613000,7,5,,
0 days 00:31:11.661000,7,2,,
0 days 00:33:07.214000,7,3,,
0 days 00:35:49.465000,7,4,,
0 days 00:36:27.094000,7,5,,
0 days 00:36:49.484000,7,6,,
0 days 00:37:07.703000,7,7,,
0 days 00:38:45.449000,7,8,,
0 days 00:39:21.864000,7,9,,
0 days 00:41:15.737000,7,10,,
0 days 00:41:32.791000,7,11,,
0 days 00:41:59.385000,7,12,,
0 days 00:42:36.953000,7,13,,
0 days 00:47:27.721000,7,14,,
0 days 00:51:37.244000,7,15,,
0 days 00:53:25.916000,7,16,,
0 days 01:00:03.474000,7,13,,
0 days 01:00:35.903000,7,14,,
0 days 01:04:32.280000,7,15,,
0 days 00:00:09.284000,10,6,,
0 days 00:10:56.032000,10,7,,
0 days 00:11:26.322000,10,8,,
0 days 00:11:35.817000,10,9,,
0 days 00:11:40.333000,10,10,,
0 days 00:12:37.714000,10,11,,
0 days 00:22:02.583000,10,12,,
0 days 00:22:06.513000,10,13,,
0 days 00:22:09.928000,10,14,,
0 days 00:25:33.672000,10,15,,
0 days 00:27:39.640000,10,16,,
0 days 00:28:59.859000,10,17,,
0 days 00:30:52.377000,10,18,,
0 days 00:34:11.462000,10,7,,
0 days 00:35:49.465000,10,8,,
0 days 00:36:27.094000,10,9,,
0 days 00:36:49.484000,10,10,,
0 days 00:37:07.703000,10,11,,
0 days 00:37:13.966000,10,12,,
0 days 00:39:26.396000,10,13,,
0 days 00:41:32.791000,10,14,,
0 days 00:41:53.816000,10,15,,
0 days 00:41:59.385000,10,16,,
0 days 00:47:56.784000,10,15,,
0 days 00:51:37.244000,10,13,,
0 days 00:59:31.675000,10,10,,
0 days 01:00:35.903000,10,11,,
0 days 01:00:51.806000,10,12,,
0 days 01:01:29.103000,10,13,,
0 days 01:11:57.650000,10,12,,
0 days 00:00:09.284000,12,7,,
