LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,31,,0,0.0,UNKNOWN,False,0,0 days 00:12:33.421000,0.0,,0.0,
,31,,0,,SOFT,True,,0 days 00:12:38.425000,,,,
,87,,0,0.0,SOFT,True,0,0 days 00:12:43.434000,0.0,,0.0,
,63,,0,0.0,MEDIUM,True,0,0 days 00:12:53.443000,0.0,,0.0,
,7,,0,0.0,SOFT,True,0,0 days 00:12:58.453000,0.0,,0.0,
,55,,0,0.0,UNKNOWN,False,0,0 days 00:13:08.475000,0.0,,0.0,
,27,,0,0.0,SOFT,True,0,0 days 00:13:08.475000,0.0,,0.0,
,55,,0,,SOFT,True,,0 days 00:13:13.474000,,,,
,5,,0,0.0,SOFT,True,0,0 days 00:13:18.483000,0.0,,0.0,
,14,,0,0.0,SOFT,True,0,0 days 00:13:33.494000,0.0,,0.0,
,30,,0,0.0,SOFT,True,0,0 days 00:13:48.507000,0.0,,0.0,
,23,,0,0.0,UNKNOWN,False,0,0 days 00:13:58.518000,0.0,,0.0,
,23,,0,,SOFT,True,,0 days 00:14:03.520000,,,,
,18,,0,0.0,SOFT,True,0,0 days 00:14:08.532000,0.0,,0.0,
,31,,0,1.0,,,,0 days 00:14:13.532000,,,,
,10,,0,0.0,SOFT,True,0,0 days 00:14:23.540000,0.0,,0.0,
,12,,0,0.0,MEDIUM,True,0,0 days 00:14:28.680000,0.0,,0.0,
,63,,0,1.0,,,,0 days 00:14:33.558000,,,,
,16,,0,0.0,SOFT,True,0,0 days 00:14:33.558000,0.0,,0.0,
,44,,0,0.0,SOFT,True,0,0 days 00:14:43.708000,0.0,,0.0,
,7,,0,1.0,,,,0 days 00:14:48.570000,,,,
,27,,0,1.0,,,,0 days 00:14:58.573000,,,,
,55,,0,1.0,,,,0 days 00:15:08.583000,,,,
,4,,0,0.0,UNKNOWN,False,0,0 days 00:15:08.583000,0.0,,0.0,
,4,,0,,SOFT,True,,0 days 00:15:13.585000,,,,
,5,,0,1.0,,,,0 days 00:15:13.585000,,,,
,14,,0,1.0,,,,0 days 00:15:18.581000,,,,
,31,,0,2.0,,,,0 days 00:15:28.580000,,,,
3.0,31,0 days 00:01:17.517000,0,,,,,0 days 00:15:28.589000,3.0,,,
,30,,0,1.0,,,,0 days 00:15:33.589000,,,,
,23,,0,1.0,,,,0 days 00:15:43.591000,,,,
,18,,0,1.0,,,,0 days 00:15:48.584000,,,,
,81,,0,0.0,UNKNOWN,False,0,0 days 00:15:53.594000,0.0,,0.0,
,63,,0,2.0,,,,0 days 00:15:53.594000,,,,
3.0,63,0 days 00:01:17.210000,0,,,,,0 days 00:15:53.663000,3.0,,,
,31,,0,,,,,0 days 00:15:53.663000,1.0,,,
,10,,0,1.0,,,,0 days 00:16:03.593000,,,,
,7,,0,2.0,,,,0 days 00:16:08.594000,,,,
,63,,0,,,,,0 days 00:16:08.605000,1.0,,,
3.0,7,0 days 00:01:16.999000,0,,,,,0 days 00:16:08.605000,3.0,,,
,27,,0,2.0,,,,0 days 00:16:13.769000,,,,
,7,,0,,,,,0 days 00:16:13.769000,1.0,,,
3.0,27,0 days 00:01:16.925000,0,,,,,0 days 00:16:13.769000,3.0,,,
,12,,0,1.0,,,,0 days 00:16:23.609000,,,,
,55,,0,2.0,,,,0 days 00:16:23.609000,,,,
3.0,55,0 days 00:01:17.650000,0,,,,,0 days 00:16:23.869000,1.0,,,
,16,,0,1.0,,,,0 days 00:16:33.591000,,,,
,14,,0,2.0,,,,0 days 00:16:38.593000,,,,
,27,,0,,,,,0 days 00:16:38.774000,1.0,,,
3.0,14,0 days 00:01:16.546000,0,,,,,0 days 00:16:38.774000,3.0,,,
,44,,0,1.0,,,,0 days 00:16:43.608000,,,,
,1,,0,0.0,SOFT,True,0,0 days 00:16:48.609000,0.0,,0.0,
,30,,0,2.0,,,,0 days 00:16:53.608000,,,,
3.0,30,0 days 00:01:17.094000,0,,,,,0 days 00:16:53.654000,1.0,,,
,23,,0,2.0,,,,0 days 00:16:58.605000,,,,
,4,,0,1.0,,,,0 days 00:16:58.605000,,,,
3.0,23,0 days 00:01:16.963000,0,,,,,0 days 00:16:58.942000,1.0,,,
,5,,0,2.0,,,,0 days 00:17:03.610000,,,,
,5,,1,0.0,UNKNOWN,False,1,0 days 00:17:03.610000,0.0,,0.0,
,18,,0,2.0,,,,0 days 00:17:03.610000,,,,
3.0,18,0 days 00:01:16.950000,0,,,,,0 days 00:17:03.714000,1.0,,,
,10,,0,2.0,,,,0 days 00:17:18.606000,,,,
3.0,10,0 days 00:01:16.839000,0,,,,,0 days 00:17:18.684000,1.0,,,
,12,,0,2.0,,,,0 days 00:17:38.610000,,,,
3.0,12,0 days 00:01:17.449000,0,,,,,0 days 00:17:38.682000,1.0,,,
,16,,0,2.0,,,,0 days 00:17:48.618000,,,,
3.0,16,0 days 00:01:16.453000,0,,,,,0 days 00:17:49.761000,3.0,,,
,14,,0,,,,,0 days 00:17:49.761000,1.0,,,
,7,,0,3.0,,,,0 days 00:17:53.617000,,,,
,44,,0,2.0,,,,0 days 00:17:58.614000,,,,
3.0,44,0 days 00:01:16.744000,0,,,,,0 days 00:17:58.622000,1.0,,,
,4,,0,2.0,,,,0 days 00:18:13.616000,,,,
,16,,0,,,,,0 days 00:18:13.842000,1.0,,,
3.0,4,0 days 00:01:16.003000,0,,,,,0 days 00:18:13.842000,3.0,,,
,1,,0,1.0,,,,0 days 00:18:23.612000,,,,
,55,,0,3.0,,,,0 days 00:18:23.612000,,,,
,63,,0,3.0,,,,0 days 00:18:43.626000,,,,
,23,,0,3.0,,,,0 days 00:18:43.626000,,,,
,6,,0,0.0,SOFT,True,0,0 days 00:18:43.626000,0.0,,0.0,
,63,,1,3.0,MEDIUM,False,1,0 days 00:18:48.635000,0.0,,3.0,
,22,,0,0.0,SOFT,True,0,0 days 00:18:53.639000,0.0,,0.0,
,27,,0,3.0,,,,0 days 00:18:53.639000,,,,
,31,,0,3.0,,,,0 days 00:18:58.645000,,,,
,27,,1,3.0,SOFT,False,1,0 days 00:19:03.646000,0.0,,3.0,
,31,,1,0.0,SOFT,True,0,0 days 00:19:08.648000,0.0,,0.0,
,10,,0,3.0,,,,0 days 00:19:13.668000,,,,
,7,,0,4.0,,,,0 days 00:19:38.663000,,,,
,1,,0,2.0,,,,0 days 00:19:43.661000,,,,
3.0,1,0 days 00:01:16.018000,0,,,,,0 days 00:19:43.818000,1.0,,,
,16,,0,3.0,,,,0 days 00:19:53.662000,,,,
,16,,1,0.0,UNKNOWN,False,1,0 days 00:19:53.662000,0.0,,0.0,
,18,,0,3.0,,,,0 days 00:20:03.674000,,,,
,14,,0,3.0,,,,0 days 00:20:03.674000,,,,
,14,,1,0.0,SOFT,True,0,0 days 00:20:03.674000,0.0,,0.0,
,18,,1,0.0,SOFT,True,0,0 days 00:20:08.677000,0.0,,0.0,
,55,,0,4.0,,,,0 days 00:20:13.677000,,,,
,4,,0,3.0,,,,0 days 00:20:13.677000,,,,
,4,,1,3.0,SOFT,False,1,0 days 00:20:18.677000,0.0,,3.0,
,5,,1,,SOFT,True,,0 days 00:20:18.677000,,,,
,44,,0,3.0,,,,0 days 00:20:23.678000,,,,
,23,,0,4.0,,,,0 days 00:20:28.689000,,,,
,30,,0,3.0,,,,0 days 00:20:28.689000,,,,
,16,,1,,SOFT,True,,0 days 00:20:33.686000,,,,
,44,,1,3.0,SOFT,False,1,0 days 00:20:33.686000,0.0,,3.0,
,6,,0,1.0,,,,0 days 00:20:33.686000,,,,
,30,,1,0.0,SOFT,True,0,0 days 00:20:38.692000,0.0,,0.0,
,81,,0,,SOFT,True,,0 days 00:20:43.689000,,,,
,63,,1,4.0,,,,0 days 00:20:43.689000,,,,
6.0,7,0 days 00:01:16.729000,0,,,,,0 days 00:20:51.366000,,,,
,81,,1,3.0,SOFT,False,1,0 days 00:20:53.706000,0.0,,3.0,
,22,,0,1.0,,,,0 days 00:20:53.706000,,,,
,7,,0,5.0,,,,0 days 00:20:53.706000,,,,
,10,,0,4.0,,,,0 days 00:20:58.704000,,,,
,27,,1,4.0,,,,0 days 00:21:03.708000,,,,
,31,,1,1.0,,,,0 days 00:21:08.704000,,,,
6.0,55,0 days 00:01:16.440000,0,,,,,0 days 00:21:25.712000,,,,
,55,,0,5.0,,,,0 days 00:21:28.699000,,,,
6.0,23,0 days 00:01:16.563000,0,,,,,0 days 00:21:41.910000,,,,
,23,,0,5.0,,,,0 days 00:21:43.705000,,,,
,14,,1,1.0,,,,0 days 00:21:43.705000,,,,
,12,,0,3.0,,,,0 days 00:21:53.712000,,,,
,6,,0,2.0,,,,0 days 00:21:53.712000,,,,
,18,,1,1.0,,,,0 days 00:21:53.712000,,,,
3.0,6,0 days 00:01:16.725000,0,,,,,0 days 00:21:53.820000,1.0,,,
,63,,1,5.0,,,,0 days 00:21:58.717000,,,,
,12,,1,0.0,SOFT,True,0,0 days 00:21:58.717000,0.0,,0.0,
,63,,0,,,,,0 days 00:21:58.743000,0.0,,,
6.0,63,0 days 00:01:16.295000,1,,,,,0 days 00:21:58.743000,1.0,,,
,22,,0,2.0,,,,0 days 00:22:08.720000,,,,
