Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:17:36.045000,81,0 days 00:01:46.474000,1,0,0 days 00:15:51.842000,,0 days 00:00:42.719000,0 days 00:00:19.397000,0 days 00:00:44.358000,0 days 00:16:32.429000,0 days 00:16:51.687000,0 days 00:17:36.075000,259.0,309.0,306.0,152.0,False
0 days 00:18:52.202000,81,0 days 00:01:16.157000,2,0,,,0 days 00:00:26.452000,0 days 00:00:17.204000,0 days 00:00:32.501000,0 days 00:18:02.497000,0 days 00:18:19.701000,0 days 00:18:52.202000,290.0,322.0,306.0,321.0,True
0 days 00:20:49.466000,81,0 days 00:01:57.264000,3,1,,0 days 00:20:38.692000,0 days 00:00:42.024000,0 days 00:00:22.928000,0 days 00:00:52.312000,0 days 00:19:34.226000,0 days 00:19:57.154000,0 days 00:20:49.466000,209.0,241.0,,148.0,False
0 days 00:22:39.997000,81,0 days 00:01:50.531000,4,1,0 days 00:20:51.552000,,0 days 00:00:46.689000,0 days 00:00:23.264000,0 days 00:00:40.578000,0 days 00:21:36.155000,0 days 00:21:59.419000,0 days 00:22:39.997000,144.0,248.0,310.0,139.0,False
0 days 00:23:56.059000,81,0 days 00:01:16.062000,5,1,,,0 days 00:00:26.270000,0 days 00:00:17.114000,0 days 00:00:32.678000,0 days 00:23:06.267000,0 days 00:23:23.381000,0 days 00:23:56.059000,289.0,325.0,307.0,325.0,True
0 days 00:28:33.991000,81,,6,2,,0 days 00:25:32.946000,0 days 00:00:31.465000,0 days 00:00:22.346000,,0 days 00:24:27.550000,0 days 00:24:49.941000,,226.0,218.0,,273.0,False
0 days 00:38:42.466000,81,,7,3,0 days 00:28:33.991000,0 days 00:30:22.369000,0 days 00:00:59.480000,0 days 00:00:20.307000,,0 days 00:29:15.985000,0 days 00:29:36.361000,,188.0,315.0,,158.0,False
0 days 00:40:43.357000,81,0 days 00:02:00.891000,8,3,0 days 00:38:51.040000,,0 days 00:00:57.339000,0 days 00:00:21.394000,0 days 00:00:42.158000,0 days 00:39:39.805000,0 days 00:40:01.199000,0 days 00:40:43.357000,259.0,111.0,308.0,145.0,False
0 days 00:41:58.825000,81,0 days 00:01:15.468000,9,3,,,0 days 00:00:26.171000,0 days 00:00:17.111000,0 days 00:00:32.186000,0 days 00:41:09.528000,0 days 00:41:26.639000,0 days 00:41:58.825000,290.0,324.0,305.0,323.0,True
0 days 00:50:37.442000,81,,10,4,,0 days 00:43:33.448000,0 days 00:00:33.177000,0 days 00:00:21.838000,,0 days 00:42:32.003000,0 days 00:42:54.383000,,247.0,246.0,,274.0,False
0 days 00:52:29.280000,81,0 days 00:01:51.838000,11,4,0 days 00:50:41.559000,,0 days 00:00:47.061000,0 days 00:00:19.278000,0 days 00:00:45.499000,0 days 00:51:24.503000,0 days 00:51:43.781000,0 days 00:52:29.280000,264.0,182.0,312.0,79.0,False
0 days 01:00:33.955000,81,,12,5,,0 days 00:54:03.613000,0 days 00:00:33.721000,0 days 00:00:21.068000,,0 days 00:53:03.063000,0 days 00:53:24.016000,,209.0,271.0,,329.0,False
0 days 01:02:18.268000,81,0 days 00:01:44.313000,13,5,0 days 01:00:36.971000,,0 days 00:00:41.561000,0 days 00:00:19.113000,0 days 00:00:43.639000,0 days 01:01:15.516000,0 days 01:01:34.629000,0 days 01:02:18.268000,261.0,307.0,309.0,125.0,False
0 days 01:03:34.415000,81,0 days 00:01:16.147000,14,5,,,0 days 00:00:26.190000,0 days 00:00:17.066000,0 days 00:00:32.891000,0 days 01:02:44.458000,0 days 01:03:01.524000,0 days 01:03:34.415000,288.0,326.0,309.0,323.0,True
0 days 01:08:33.573000,81,,15,6,,0 days 01:05:05.705000,0 days 00:00:35.373000,0 days 00:00:19.868000,,0 days 01:04:09.828000,0 days 01:04:29.758000,,249.0,275.0,,314.0,False
0 days 01:10:18.329000,81,0 days 00:01:44.756000,16,6,0 days 01:08:37.391000,,0 days 00:00:43.398000,0 days 00:00:19.466000,0 days 00:00:41.892000,0 days 01:09:16.971000,0 days 01:09:36.437000,0 days 01:10:18.329000,253.0,307.0,309.0,97.0,False
0 days 01:11:33.509000,81,0 days 00:01:15.180000,17,6,,,0 days 00:00:26.082000,0 days 00:00:16.952000,0 days 00:00:32.146000,0 days 01:10:44.411000,0 days 01:11:01.363000,0 days 01:11:33.509000,289.0,325.0,309.0,323.0,True
0 days 01:13:19.928000,81,,18,6,,0 days 01:13:19.928000,0 days 00:00:36.728000,0 days 00:00:26.135000,,0 days 01:12:10.353000,0 days 01:12:36.501000,,230.0,150.0,,172.0,False
0 days 00:14:31.889000,63,,1,0,0 days 00:12:48.719000,,,0 days 00:00:19.626000,0 days 00:00:39.659000,,0 days 00:13:52.292000,0 days 00:14:31.889000,265.0,307.0,306.0,104.0,False
0 days 00:15:49.099000,63,0 days 00:01:17.210000,2,0,,,0 days 00:00:26.777000,0 days 00:00:17.431000,0 days 00:00:33.002000,0 days 00:14:58.666000,0 days 00:15:16.097000,0 days 00:15:49.099000,289.0,323.0,310.0,322.0,True
0 days 00:18:40.738000,63,,3,1,,0 days 00:17:29.191000,0 days 00:00:35.312000,0 days 00:00:21.941000,,0 days 00:16:24.404000,0 days 00:16:46.420000,,241.0,289.0,,232.0,False
