Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:09.508000,81,1,,
0 days 00:12:31.873000,81,2,,
0 days 00:12:39.496000,81,3,,
0 days 00:12:48.719000,81,4,,
0 days 00:12:57.186000,81,5,,
0 days 00:13:06.561000,81,6,,
0 days 00:13:08.356000,81,7,,
0 days 00:13:16.660000,81,8,,
0 days 00:13:29.995000,81,9,,
0 days 00:13:47.299000,81,10,,
0 days 00:13:58.321000,81,11,,
0 days 00:14:07.206000,81,12,,
0 days 00:14:21.451000,81,13,,
0 days 00:14:25.084000,81,14,,
0 days 00:14:32.536000,81,15,,
0 days 00:14:39.185000,81,16,,
0 days 00:15:08.068000,81,17,,
0 days 00:15:51.842000,81,11,,
0 days 00:16:01.440000,81,12,,
0 days 00:16:20.540000,81,13,,
0 days 00:16:30.587000,81,14,,
0 days 00:16:41.602000,81,15,,
0 days 00:16:54.443000,81,16,,
0 days 00:17:36.075000,81,11,,
0 days 00:17:38.040000,81,12,,
0 days 00:17:47.227000,81,13,,
0 days 00:17:58.265000,81,14,,
0 days 00:18:10.551000,81,15,,
0 days 00:18:52.326000,81,2,,
0 days 00:19:39.424000,81,3,,
0 days 00:22:51.917000,81,4,,
0 days 00:29:06.784000,81,5,,
0 days 00:37:44.859000,81,6,,
0 days 00:38:39.654000,81,7,,
0 days 00:38:45.011000,81,8,,
0 days 00:38:51.040000,81,4,,
0 days 00:39:05.869000,81,5,,
0 days 00:39:40.722000,81,6,,
0 days 00:40:21.195000,81,7,,
0 days 00:40:28.185000,81,8,,
0 days 00:40:43.357000,81,4,,
0 days 00:40:52.997000,81,5,,
0 days 00:40:56.777000,81,6,,
0 days 00:41:37.370000,81,7,,
0 days 00:41:44.230000,81,8,,
0 days 00:41:58.825000,81,1,,
0 days 00:53:23.595000,81,2,,
0 days 01:00:36.971000,81,1,,
0 days 01:00:41.755000,81,2,,
0 days 01:02:18.296000,81,1,,
0 days 01:02:26.986000,81,2,,
0 days 01:03:34.454000,81,1,,
0 days 01:03:42.993000,81,2,,
0 days 01:03:51.988000,81,3,,
0 days 01:03:52.298000,81,2,,
0 days 01:04:03.459000,81,3,,
0 days 01:04:23.838000,81,4,,
0 days 01:11:33.571000,81,1,,
0 days 01:11:43.743000,81,2,,
0 days 00:00:09.508000,63,2,,
0 days 00:12:31.873000,63,3,,
0 days 00:12:39.496000,63,4,,
0 days 00:12:48.719000,63,1,,
0 days 00:14:09.437000,63,2,,
0 days 00:14:31.889000,63,1,,
0 days 00:15:27.055000,63,2,,
0 days 00:15:49.201000,63,1,,
0 days 00:16:05.660000,63,2,,
0 days 00:16:13.555000,63,3,,
0 days 00:16:34.579000,63,4,,
0 days 00:16:50.256000,63,5,,
0 days 00:16:56.292000,63,6,,
0 days 00:17:03.390000,63,7,,
0 days 00:17:18.250000,63,8,,
0 days 00:17:47.227000,63,9,,
0 days 00:17:58.265000,63,10,,
0 days 00:18:10.551000,63,11,,
0 days 00:18:52.326000,63,12,,
0 days 00:19:39.424000,63,13,,
0 days 00:20:11.444000,63,14,,
0 days 00:21:25.712000,63,15,,
0 days 00:21:49.668000,63,16,,
0 days 00:21:57.277000,63,4,,
0 days 00:22:51.917000,63,5,,
0 days 00:22:56.773000,63,6,,
0 days 00:29:06.784000,63,2,,
0 days 00:37:32.887000,63,3,,
0 days 00:37:37.813000,63,4,,
0 days 00:37:44.859000,63,5,,
0 days 00:38:24.907000,63,1,,
0 days 00:39:05.869000,63,2,,
0 days 00:39:08.901000,63,3,,
0 days 00:39:19.653000,63,4,,
0 days 00:39:40.722000,63,5,,
0 days 00:40:13.277000,63,1,,
0 days 00:40:24.689000,63,2,,
0 days 00:40:35.501000,63,3,,
0 days 00:40:52.997000,63,4,,
0 days 00:40:56.777000,63,5,,
