LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,63,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:45.078000,0.0,,0.0,
,14,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:45.078000,0.0,,0.0,
,18,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:45.078000,0.0,,0.0,
,12,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:45.078000,0.0,,0.0,
,4,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,81,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,1,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,22,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,23,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,16,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,44,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,10,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,55,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,6,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,18,,0,,WET,,,0 days 00:49:50.248000,,,,
,7,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,5,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,27,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,30,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,31,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,87,,0,0.0,INTERMEDIATE,True,0,0 days 00:49:50.248000,0.0,,0.0,
,18,,0,,INTERMEDIATE,,,0 days 00:56:10.293000,,,,
,55,,0,,,False,,0 days 00:59:00.309000,,,,
,55,,0,,,True,,0 days 01:07:20.354000,,,,
,30,,1,0.0,INTERMEDIATE,False,1,0 days 01:08:35.354000,0.0,,0.0,
,30,,0,,,False,,0 days 01:11:15.381000,,,,
,30,,2,0.0,INTERMEDIATE,False,1,0 days 01:11:15.381000,0.0,,0.0,
,4,,0,1.0,,,,0 days 01:13:00.416000,,,,
