Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:04.219000,4,1,,
0 days 00:00:06.003000,4,1,LAP 1,LAP 1
0 days 01:12:57.640000,4,1,LAP 2,LAP 2
0 days 01:15:47.541000,4,1,LAP 3,LAP 3
0 days 01:18:29.260000,4,1,LAP 4,LAP 4
0 days 01:21:05.340000,4,1,LAP 5,LAP 5
0 days 01:23:28.975000,4,1,LAP 6,LAP 6
0 days 01:25:49.425000,4,1,LAP 7,LAP 7
0 days 01:28:06.569000,4,1,LAP 8,LAP 8
0 days 01:29:42.854000,4,1,LAP 9,LAP 9
0 days 01:31:17.430000,4,1,LAP 10,LAP 10
0 days 01:32:49.597000,4,1,LAP 11,LAP 11
0 days 01:34:21.760000,4,1,LAP 12,LAP 12
0 days 01:35:53.626000,4,1,LAP 13,LAP 13
0 days 01:37:24.869000,4,1,LAP 14,LAP 14
0 days 01:38:55.807000,4,1,LAP 15,LAP 15
0 days 01:40:25.901000,4,1,LAP 16,LAP 16
0 days 01:41:55.860000,4,1,LAP 17,LAP 17
0 days 01:43:26.115000,4,1,LAP 18,LAP 18
0 days 01:44:56.285000,4,1,LAP 19,LAP 19
0 days 01:46:26.786000,4,1,LAP 20,LAP 20
0 days 01:47:57.544000,4,1,LAP 21,LAP 21
0 days 01:49:27.745000,4,1,LAP 22,LAP 22
0 days 01:50:58.046000,4,1,LAP 23,LAP 23
0 days 01:52:27.960000,4,1,LAP 24,LAP 24
0 days 01:53:57.677000,4,1,LAP 25,LAP 25
0 days 01:55:27.251000,4,1,LAP 26,LAP 26
0 days 01:56:56.417000,4,1,LAP 27,LAP 27
0 days 01:58:25.654000,4,1,LAP 28,LAP 28
0 days 01:59:54.836000,4,1,LAP 29,LAP 29
0 days 02:01:23.109000,4,1,LAP 30,LAP 30
0 days 02:02:51.216000,4,1,LAP 31,LAP 31
0 days 02:04:18.868000,4,1,LAP 32,LAP 32
