LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,87,,0,0.0,MEDIUM,True,0,0 days 00:14:35.842000,0.0,,0.0,
,22,,0,0.0,UNKNOWN,False,0,0 days 00:14:40.860000,0.0,,0.0,
,31,,0,0.0,MEDIUM,True,0,0 days 00:14:40.860000,0.0,,0.0,
,22,,0,,MEDIUM,True,,0 days 00:14:45.868000,,,,
,6,,0,0.0,MEDIUM,True,0,0 days 00:14:50.861000,0.0,,0.0,
,55,,0,0.0,MEDIUM,True,0,0 days 00:14:50.861000,0.0,,0.0,
,10,,0,0.0,UNKNOWN,False,0,0 days 00:14:55.869000,0.0,,0.0,
,10,,0,,MEDIUM,True,,0 days 00:15:00.868000,,,,
,7,,0,0.0,MEDIUM,True,0,0 days 00:15:10.871000,0.0,,0.0,
,12,,0,0.0,MEDIUM,True,0,0 days 00:15:15.869000,0.0,,0.0,
,44,,0,0.0,MEDIUM,True,0,0 days 00:15:20.870000,0.0,,0.0,
,1,,0,0.0,MEDIUM,True,0,0 days 00:15:25.878000,0.0,,0.0,
,5,,0,0.0,UNKNOWN,False,0,0 days 00:15:25.878000,0.0,,0.0,
,5,,0,,MEDIUM,True,,0 days 00:15:30.870000,,,,
,81,,0,0.0,MEDIUM,True,0,0 days 00:15:30.870000,0.0,,0.0,
,16,,0,0.0,MEDIUM,True,0,0 days 00:15:35.878000,0.0,,0.0,
,30,,0,0.0,MEDIUM,True,0,0 days 00:15:40.887000,0.0,,0.0,
,4,,0,0.0,MEDIUM,True,0,0 days 00:15:45.893000,0.0,,0.0,
,23,,0,0.0,MEDIUM,True,0,0 days 00:15:55.894000,0.0,,0.0,
,27,,0,0.0,UNKNOWN,False,0,0 days 00:16:05.890000,0.0,,0.0,
,27,,0,,MEDIUM,True,,0 days 00:16:10.904000,,,,
,63,,0,0.0,MEDIUM,True,0,0 days 00:16:20.906000,0.0,,0.0,
,14,,0,0.0,MEDIUM,True,0,0 days 00:16:25.912000,0.0,,0.0,
,87,,0,1.0,,,,0 days 00:16:30.913000,,,,
,31,,0,1.0,,,,0 days 00:16:40.903000,,,,
,22,,0,1.0,,,,0 days 00:16:50.911000,,,,
,55,,0,1.0,,,,0 days 00:16:55.911000,,,,
,6,,0,1.0,,,,0 days 00:17:05.911000,,,,
,10,,0,1.0,,,,0 days 00:17:10.908000,,,,
,7,,0,1.0,,,,0 days 00:17:20.916000,,,,
,44,,0,1.0,,,,0 days 00:17:30.919000,,,,
,1,,0,1.0,,,,0 days 00:17:35.920000,,,,
,5,,0,1.0,,,,0 days 00:17:40.923000,,,,
,81,,0,1.0,,,,0 days 00:17:50.921000,,,,
,16,,0,1.0,,,,0 days 00:17:55.922000,,,,
,4,,0,1.0,,,,0 days 00:18:00.918000,,,,
,18,,0,0.0,MEDIUM,True,0,0 days 00:18:00.918000,0.0,,0.0,
,30,,0,1.0,,,,0 days 00:18:00.918000,,,,
,12,,0,1.0,,,,0 days 00:18:05.922000,,,,
,63,,0,1.0,,,,0 days 00:18:05.922000,,,,
,87,,0,2.0,,,,0 days 00:18:10.923000,,,,
3.0,87,0 days 00:01:40.349000,0,,,,,0 days 00:18:11.143000,3.0,,,
,23,,0,1.0,,,,0 days 00:18:15.926000,,,,
,27,,0,1.0,,,,0 days 00:18:20.927000,,,,
,31,,0,2.0,,,,0 days 00:18:20.927000,,,,
3.0,31,0 days 00:01:37.815000,0,,,,,0 days 00:18:20.987000,3.0,,,
,87,,0,,,,,0 days 00:18:20.987000,1.0,,,
,14,,0,1.0,,,,0 days 00:18:25.923000,,,,
,22,,0,2.0,,,,0 days 00:18:25.923000,,,,
3.0,22,0 days 00:01:36.582000,0,,,,,0 days 00:18:26.178000,3.0,,,
,31,,0,,,,,0 days 00:18:26.178000,1.0,,,
,55,,0,2.0,,,,0 days 00:18:35.918000,,,,
3.0,55,0 days 00:01:37.143000,0,,,,,0 days 00:18:36.387000,1.0,,,
,6,,0,2.0,,,,0 days 00:18:40.932000,,,,
3.0,6,0 days 00:01:37.222000,0,,,,,0 days 00:18:40.939000,1.0,,,
,10,,0,2.0,,,,0 days 00:18:45.923000,,,,
3.0,10,0 days 00:01:35.574000,0,,,,,0 days 00:18:46.244000,3.0,,,
,22,,0,,,,,0 days 00:18:46.244000,1.0,,,
,7,,0,2.0,,,,0 days 00:19:00.927000,,,,
3.0,7,0 days 00:01:37.213000,0,,,,,0 days 00:19:01.269000,1.0,,,
,44,,0,2.0,,,,0 days 00:19:05.930000,,,,
3.0,44,0 days 00:01:35.669000,0,,,,,0 days 00:19:06.072000,1.0,,,
,1,,0,2.0,,,,0 days 00:19:10.925000,,,,
