Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:10.809000,1,1,,
0 days 00:14:31.768000,1,2,,
0 days 00:14:36.870000,1,3,,
0 days 00:14:40.173000,1,4,,
0 days 00:14:46.532000,1,5,,
0 days 00:14:47.870000,1,6,,
0 days 00:14:55.659000,1,7,,
0 days 00:15:06.389000,1,8,,
0 days 00:15:11.293000,1,9,,
0 days 00:15:16.797000,1,10,,
0 days 00:19:11.033000,1,1,,
0 days 00:19:21.665000,1,2,,
0 days 00:19:41.011000,1,3,,
0 days 00:22:18.075000,1,4,,
0 days 00:22:33.765000,1,5,,
0 days 00:22:41.546000,1,6,,
0 days 00:22:53.495000,1,7,,
0 days 00:23:06.273000,1,8,,
0 days 00:23:13.850000,1,9,,
0 days 00:23:22.961000,1,1,,
0 days 00:23:42.802000,1,2,,
0 days 00:23:58.066000,1,3,,
0 days 00:25:36.647000,1,4,,
0 days 00:27:21.508000,1,5,,
0 days 00:27:45.858000,1,6,,
0 days 00:27:50.867000,1,7,,
0 days 00:29:31.724000,1,3,,
0 days 00:30:58.068000,1,4,,
0 days 00:32:21.649000,1,5,,
0 days 00:52:06.210000,1,6,,
0 days 01:10:01.976000,1,7,,
0 days 01:10:08.302000,1,8,,
0 days 01:10:56.762000,1,9,,
0 days 01:11:09.393000,1,10,,
0 days 01:11:17.296000,1,11,,
0 days 01:11:25.584000,1,12,,
0 days 01:11:57.545000,1,13,,
0 days 01:12:16.524000,1,14,,
0 days 01:12:28.741000,1,15,,
0 days 01:15:43.996000,1,16,,
0 days 00:00:10.809000,4,2,,
0 days 00:14:31.768000,4,3,,
0 days 00:14:36.870000,4,4,,
0 days 00:14:40.173000,4,5,,
0 days 00:14:46.532000,4,6,,
0 days 00:14:47.870000,4,7,,
0 days 00:14:55.659000,4,8,,
0 days 00:15:06.389000,4,9,,
0 days 00:15:11.293000,4,10,,
0 days 00:15:16.797000,4,11,,
0 days 00:15:25.807000,4,12,,
0 days 00:15:29.317000,4,13,,
0 days 00:15:33.341000,4,14,,
0 days 00:15:38.018000,4,15,,
0 days 00:19:33.566000,4,5,,
0 days 00:19:41.011000,4,6,,
0 days 00:19:59.033000,4,7,,
0 days 00:21:58.876000,4,8,,
0 days 00:22:18.075000,4,9,,
0 days 00:22:33.765000,4,10,,
0 days 00:22:41.546000,4,11,,
0 days 00:22:58.371000,4,12,,
0 days 00:23:06.273000,4,13,,
0 days 00:23:29.292000,4,14,,
0 days 00:23:42.802000,4,1,,
0 days 00:25:36.647000,4,2,,
0 days 00:27:45.858000,4,3,,
0 days 00:28:11.624000,4,4,,
0 days 00:29:31.724000,4,5,,
0 days 00:30:58.068000,4,6,,
0 days 00:32:21.649000,4,7,,
0 days 01:10:01.976000,4,8,,
0 days 01:10:08.302000,4,9,,
0 days 01:10:56.762000,4,2,,
0 days 01:14:58.196000,4,1,,
0 days 00:00:10.809000,5,3,,
0 days 00:14:31.768000,5,4,,
0 days 00:14:36.870000,5,5,,
0 days 00:14:40.173000,5,6,,
0 days 00:14:46.532000,5,7,,
0 days 00:14:47.870000,5,8,,
0 days 00:14:55.659000,5,9,,
0 days 00:15:06.389000,5,10,,
0 days 00:15:11.293000,5,11,,
0 days 00:15:16.797000,5,12,,
0 days 00:15:25.807000,5,11,,
0 days 00:19:17.373000,5,9,,
0 days 00:19:21.665000,5,10,,
0 days 00:19:28.743000,5,11,,
0 days 00:19:33.566000,5,12,,
0 days 00:19:41.011000,5,13,,
0 days 00:19:55.533000,5,14,,
0 days 00:19:59.033000,5,15,,
0 days 00:21:22.874000,5,16,,
0 days 00:21:42.645000,5,17,,
0 days 00:21:48.319000,5,18,,
0 days 00:21:58.876000,5,19,,
0 days 00:22:07.542000,5,20,,
0 days 00:23:35.465000,5,19,,
0 days 00:24:26.292000,5,20,,
0 days 01:10:25.930000,5,17,,
0 days 01:11:09.393000,5,18,,
0 days 01:11:33.093000,5,19,,
0 days 01:11:40.071000,5,20,,
0 days 01:14:50.564000,5,19,,
0 days 00:00:10.809000,6,4,,
0 days 00:14:31.768000,6,5,,
0 days 00:14:36.870000,6,6,,
0 days 00:14:40.173000,6,7,,
0 days 00:14:46.532000,6,4,,
0 days 00:18:31.505000,6,5,,
0 days 00:18:38.908000,6,3,,
0 days 00:18:45.042000,6,4,,
0 days 00:18:57.478000,6,5,,
0 days 00:19:03.671000,6,6,,
0 days 00:19:11.033000,6,7,,
0 days 00:19:21.665000,6,8,,
0 days 00:19:28.743000,6,9,,
0 days 00:19:33.566000,6,10,,
0 days 00:19:41.011000,6,11,,
0 days 00:19:55.533000,6,12,,
0 days 00:19:59.033000,6,13,,
0 days 00:21:22.874000,6,14,,
0 days 00:21:42.645000,6,15,,
0 days 00:21:48.319000,6,16,,
0 days 00:21:58.876000,6,17,,
0 days 00:22:07.542000,6,18,,
0 days 00:22:41.546000,6,5,,
0 days 00:22:53.495000,6,6,,
0 days 00:23:06.273000,6,7,,
0 days 00:23:13.850000,6,8,,
0 days 00:23:22.961000,6,9,,
0 days 00:23:29.292000,6,10,,
0 days 00:23:42.802000,6,11,,
0 days 00:24:06.383000,6,12,,
0 days 00:25:55.448000,6,13,,
0 days 00:26:48.393000,6,12,,
0 days 00:26:56.591000,6,13,,
0 days 00:27:28.051000,6,14,,
0 days 00:30:04.821000,6,15,,
0 days 00:33:03.178000,6,16,,
0 days 00:33:16.400000,6,17,,
0 days 00:33:31.149000,6,13,,
0 days 00:37:27.788000,6,14,,
0 days 00:45:44.848000,6,15,,
0 days 00:46:31.677000,6,16,,
0 days 00:51:09.211000,6,17,,
0 days 01:10:21.034000,6,18,,
0 days 01:10:25.930000,6,19,,
0 days 01:11:09.393000,6,20,,
0 days 01:11:33.093000,6,13,,
0 days 01:11:57.545000,6,14,,
0 days 01:12:16.524000,6,15,,
0 days 01:12:28.741000,6,16,,
0 days 01:15:43.996000,6,17,,
0 days 00:00:10.809000,7,5,,
0 days 00:14:31.768000,7,6,,
0 days 00:14:36.870000,7,7,,
0 days 00:14:40.173000,7,8,,
0 days 00:14:47.870000,7,9,,
0 days 00:14:55.659000,7,10,,
0 days 00:15:06.389000,7,7,,
0 days 00:18:57.478000,7,4,,
0 days 00:19:03.671000,7,5,,
0 days 00:19:11.033000,7,6,,
0 days 00:19:21.665000,7,7,,
0 days 00:19:28.743000,7,8,,
0 days 00:19:33.566000,7,9,,
0 days 00:19:41.011000,7,10,,
0 days 00:19:55.533000,7,11,,
0 days 00:19:59.033000,7,12,,
0 days 00:21:22.874000,7,13,,
0 days 00:21:42.645000,7,14,,
0 days 00:21:48.319000,7,15,,
0 days 00:21:58.876000,7,16,,
0 days 00:22:07.542000,7,17,,
0 days 00:22:41.546000,7,18,,
0 days 00:23:06.273000,7,3,,
0 days 00:23:13.850000,7,4,,
0 days 00:23:22.961000,7,5,,
0 days 00:23:29.292000,7,6,,
0 days 00:23:42.802000,7,7,,
0 days 00:23:58.066000,7,8,,
0 days 00:24:06.383000,7,9,,
0 days 00:25:36.647000,7,10,,
0 days 00:25:55.448000,7,11,,
0 days 00:26:37.177000,7,12,,
0 days 00:26:48.393000,7,13,,
0 days 00:26:56.591000,7,14,,
0 days 00:27:28.051000,7,11,,
0 days 00:29:51.842000,7,12,,
0 days 00:30:04.821000,7,13,,
0 days 00:31:55.344000,7,11,,
0 days 00:32:29.238000,7,12,,
0 days 00:33:16.400000,7,13,,
0 days 00:33:31.149000,7,14,,
0 days 00:37:27.788000,7,15,,
0 days 00:45:44.848000,7,16,,
0 days 00:46:31.677000,7,17,,
0 days 00:51:09.211000,7,14,,
0 days 01:10:21.034000,7,15,,
0 days 01:11:09.393000,7,16,,
0 days 01:11:33.093000,7,17,,
0 days 01:11:40.071000,7,18,,
0 days 01:12:28.741000,7,19,,
0 days 01:14:50.564000,7,20,,
0 days 00:00:10.809000,10,6,,
0 days 00:14:31.768000,10,7,,
0 days 00:14:36.870000,10,8,,
0 days 00:14:40.173000,10,9,,
0 days 00:14:47.870000,10,10,,
0 days 00:14:55.659000,10,6,,
0 days 00:18:45.042000,10,1,,
0 days 00:19:11.033000,10,2,,
0 days 00:19:21.665000,10,3,,
0 days 00:19:41.011000,10,4,,
0 days 00:22:18.075000,10,5,,
0 days 00:22:33.765000,10,6,,
0 days 00:22:41.546000,10,7,,
0 days 00:22:53.495000,10,1,,
0 days 00:23:13.850000,10,2,,
0 days 00:23:22.961000,10,3,,
0 days 00:23:29.292000,10,4,,
0 days 00:23:42.802000,10,5,,
0 days 00:23:58.066000,10,6,,
0 days 00:25:36.647000,10,7,,
0 days 00:26:56.591000,10,8,,
0 days 00:27:21.508000,10,4,,
0 days 00:27:45.858000,10,5,,
0 days 00:27:50.867000,10,6,,
0 days 00:29:31.724000,10,7,,
0 days 00:29:51.842000,10,8,,
0 days 00:30:52.230000,10,9,,
0 days 00:30:58.068000,10,10,,
0 days 00:32:29.238000,10,11,,
0 days 00:37:27.788000,10,12,,
0 days 01:10:21.034000,10,13,,
0 days 01:11:09.393000,10,14,,
0 days 01:11:25.584000,10,15,,
0 days 01:11:33.093000,10,16,,
0 days 01:11:40.071000,10,17,,
0 days 01:11:57.545000,10,10,,
0 days 01:12:16.524000,10,11,,
0 days 01:12:28.741000,10,12,,
0 days 01:15:29.296000,10,13,,
0 days 01:15:43.996000,10,14,,
0 days 00:00:10.809000,12,7,,
0 days 00:14:31.768000,12,8,,
0 days 00:14:36.870000,12,9,,
0 days 00:14:40.173000,12,10,,
0 days 00:14:47.870000,12,11,,
0 days 00:15:11.293000,12,8,,
0 days 00:19:03.671000,12,9,,
0 days 00:19:11.033000,12,10,,
0 days 00:19:17.373000,12,11,,
0 days 00:19:21.665000,12,12,,
0 days 00:19:28.743000,12,13,,
0 days 00:19:33.566000,12,14,,
0 days 00:19:41.011000,12,15,,
0 days 00:19:55.533000,12,16,,
0 days 00:19:59.033000,12,17,,
0 days 00:21:22.874000,12,8,,
0 days 00:21:58.876000,12,9,,
0 days 00:22:18.075000,12,10,,
0 days 00:22:33.765000,12,11,,
0 days 00:22:41.546000,12,12,,
0 days 00:22:58.371000,12,8,,
0 days 00:23:06.273000,12,9,,
0 days 00:23:13.850000,12,10,,
0 days 00:23:29.292000,12,11,,
0 days 00:23:42.802000,12,12,,
0 days 00:23:50.606000,12,13,,
0 days 00:24:06.383000,12,14,,
0 days 00:24:26.292000,12,15,,
0 days 00:25:44.752000,12,16,,
0 days 00:25:55.448000,12,17,,
0 days 00:26:03.234000,12,18,,
0 days 00:26:56.591000,12,6,,
0 days 00:27:21.508000,12,7,,
0 days 00:27:45.858000,12,8,,
0 days 00:29:51.842000,12,9,,
0 days 00:30:52.230000,12,10,,
0 days 00:30:58.068000,12,2,,
0 days 00:32:07.517000,12,3,,
0 days 00:32:21.649000,12,4,,
0 days 00:52:06.210000,12,5,,
0 days 01:10:01.976000,12,6,,
0 days 01:10:08.302000,12,7,,
0 days 01:10:38.856000,12,5,,
0 days 01:10:46.708000,12,6,,
0 days 01:10:56.762000,12,7,,
0 days 01:11:17.296000,12,8,,
0 days 01:15:43.996000,12,9,,
0 days 00:00:10.809000,14,8,,
0 days 00:14:31.768000,14,9,,
0 days 00:14:36.870000,14,10,,
0 days 00:14:40.173000,14,11,,
0 days 00:14:47.870000,14,12,,
0 days 00:15:16.797000,14,13,,
0 days 00:15:29.317000,14,14,,
0 days 00:15:33.341000,14,15,,
0 days 00:15:38.018000,14,16,,
0 days 00:15:51.342000,14,17,,
0 days 00:16:05.544000,14,18,,
0 days 00:16:18.946000,14,19,,
0 days 00:19:59.033000,14,6,,
0 days 00:22:18.075000,14,7,,
0 days 00:22:33.765000,14,8,,
0 days 00:22:41.546000,14,9,,
0 days 00:22:58.371000,14,10,,
0 days 00:23:06.273000,14,11,,
0 days 00:23:29.292000,14,12,,
0 days 00:23:42.802000,14,13,,
0 days 00:23:50.606000,14,14,,
0 days 00:24:06.383000,14,7,,
0 days 00:25:36.647000,14,8,,
0 days 00:26:37.177000,14,9,,
0 days 00:26:56.591000,14,10,,
0 days 00:29:51.842000,14,11,,
0 days 00:30:04.821000,14,12,,
0 days 00:30:52.230000,14,6,,
0 days 00:30:58.068000,14,7,,
0 days 00:32:21.649000,14,8,,
0 days 00:32:29.238000,14,9,,
0 days 00:34:07.512000,14,10,,
0 days 00:37:27.788000,14,11,,
0 days 01:10:21.034000,14,12,,
0 days 01:11:09.393000,14,13,,
0 days 01:11:17.296000,14,7,,
