LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,18,,0,7.0,SOFT,False,0,0 days 00:13:01.780000,0.0,,7.0,
,27,,0,0.0,SOFT,True,0,0 days 00:13:06.780000,0.0,,0.0,
,5,,0,0.0,SOFT,True,0,0 days 00:13:16.791000,0.0,,0.0,
,14,,0,3.0,SOFT,False,0,0 days 00:13:21.806000,0.0,,3.0,
,22,,0,5.0,SOFT,False,0,0 days 00:13:26.850000,0.0,,5.0,
,55,,0,3.0,SOFT,False,0,0 days 00:13:26.850000,0.0,,3.0,
,87,,0,0.0,SOFT,True,0,0 days 00:13:36.850000,0.0,,0.0,
,6,,0,0.0,UNKNOWN,False,0,0 days 00:13:46.824000,0.0,,0.0,
,31,,0,0.0,UNKNOWN,False,0,0 days 00:13:51.834000,0.0,,0.0,
,6,,0,6.0,SOFT,,,0 days 00:13:51.834000,,,6.0,
,31,,0,,SOFT,True,,0 days 00:13:56.875000,,,,
,10,,0,3.0,SOFT,False,0,0 days 00:14:01.829000,0.0,,3.0,
,7,,0,0.0,SOFT,True,0,0 days 00:14:11.846000,0.0,,0.0,
,30,,0,6.0,SOFT,False,0,0 days 00:14:26.907000,0.0,,6.0,
,4,,0,4.0,SOFT,False,0,0 days 00:14:36.860000,0.0,,4.0,
,16,,0,0.0,UNKNOWN,False,0,0 days 00:14:41.907000,0.0,,0.0,
,16,,0,3.0,SOFT,,,0 days 00:14:46.860000,,,3.0,
,18,,0,8.0,,,,0 days 00:14:51.860000,,,,
,44,,0,3.0,SOFT,False,0,0 days 00:14:56.900000,0.0,,3.0,
,27,,0,1.0,,,,0 days 00:14:56.900000,,,,
,5,,0,1.0,,,,0 days 00:15:01.870000,,,,
,81,,0,5.0,SOFT,False,0,0 days 00:15:06.885000,0.0,,5.0,
,14,,0,4.0,,,,0 days 00:15:06.885000,,,,
,23,,0,3.0,SOFT,False,0,0 days 00:15:11.885000,0.0,,3.0,
,22,,0,6.0,,,,0 days 00:15:16.885000,,,,
,55,,0,4.0,,,,0 days 00:15:26.924000,,,,
,87,,0,1.0,,,,0 days 00:15:32.034000,,,,
,6,,0,7.0,,,,0 days 00:15:41.893000,,,,
,31,,0,1.0,,,,0 days 00:15:56.892000,,,,
,12,,0,3.0,SOFT,False,0,0 days 00:16:06.904000,0.0,,3.0,
,10,,0,4.0,,,,0 days 00:16:06.904000,,,,
,7,,0,1.0,,,,0 days 00:16:11.891000,,,,
,63,,0,3.0,SOFT,False,0,0 days 00:16:16.907000,0.0,,3.0,
,18,,0,9.0,,,,0 days 00:16:21.938000,,,,
3.0,18,0 days 00:01:33.024000,0,,,,,0 days 00:16:21.969000,3.0,,,
