Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:04.094000,4,1,,
0 days 00:12:57.646000,4,2,,
0 days 00:13:03.373000,4,3,,
0 days 00:13:12.061000,4,4,,
0 days 00:13:17.322000,4,5,,
0 days 00:13:23.978000,4,6,,
0 days 00:13:25.791000,4,7,,
0 days 00:13:34.881000,4,8,,
0 days 00:13:46.386000,4,9,,
0 days 00:13:51.407000,4,10,,
0 days 00:13:59.375000,4,11,,
0 days 00:14:07.032000,4,12,,
0 days 00:14:25.063000,4,13,,
0 days 00:14:35.188000,4,1,,
0 days 00:14:48.063000,4,2,,
0 days 00:14:55.204000,4,3,,
0 days 00:15:01.260000,4,4,,
0 days 00:15:06.026000,4,5,,
0 days 00:15:15.495000,4,6,,
0 days 00:15:22.826000,4,7,,
0 days 00:15:30.706000,4,8,,
0 days 00:15:38.909000,4,9,,
0 days 00:15:56.501000,4,10,,
0 days 00:16:03.533000,4,11,,
0 days 00:16:10.965000,4,12,,
0 days 00:16:25.586000,4,13,,
0 days 00:16:35.202000,4,4,,
0 days 00:16:39.280000,4,5,,
0 days 00:16:55.891000,4,6,,
0 days 00:17:03.360000,4,7,,
0 days 00:17:28.938000,4,8,,
0 days 00:17:35.916000,4,9,,
0 days 00:18:07.401000,4,1,,
0 days 00:18:28.604000,4,2,,
0 days 00:18:36.649000,4,3,,
0 days 00:19:23.368000,4,12,,
0 days 00:19:27.275000,4,13,,
0 days 00:19:40.951000,4,14,,
0 days 00:21:08.929000,4,15,,
0 days 00:22:15.657000,4,16,,
0 days 00:22:41.332000,4,17,,
0 days 00:22:49.192000,4,18,,
0 days 00:23:05.033000,4,19,,
0 days 00:23:19.236000,4,20,,
0 days 00:25:54.334000,4,6,,
0 days 00:26:01.762000,4,7,,
0 days 00:30:51.461000,4,8,,
0 days 00:30:57.731000,4,9,,
0 days 00:31:10.997000,4,10,,
0 days 00:31:25.684000,4,11,,
0 days 00:31:42.903000,4,12,,
0 days 00:31:55.841000,4,1,,
0 days 00:39:15.347000,4,2,,
0 days 00:39:17.035000,4,3,,
0 days 00:39:21.066000,4,4,,
0 days 00:39:24.957000,4,5,,
0 days 00:39:48.465000,4,6,,
0 days 00:39:56.076000,4,7,,
0 days 00:40:07.573000,4,8,,
0 days 00:40:19.136000,4,9,,
0 days 00:40:25.245000,4,10,,
0 days 00:40:31.901000,4,1,,
0 days 00:41:13.419000,4,2,,
0 days 00:41:20.868000,4,3,,
0 days 00:41:26.961000,4,4,,
0 days 00:41:32.633000,4,5,,
0 days 00:41:45.024000,4,6,,
0 days 00:41:55.977000,4,7,,
0 days 00:42:08.226000,4,8,,
0 days 00:42:16.091000,4,9,,
0 days 00:42:20.779000,4,10,,
0 days 00:42:27.654000,4,1,,
0 days 00:42:45.213000,4,2,,
0 days 00:42:52.354000,4,3,,
0 days 00:42:58.226000,4,4,,
0 days 00:43:04.367000,4,5,,
0 days 00:43:16.882000,4,6,,
0 days 00:43:27.649000,4,7,,
0 days 00:43:39.638000,4,8,,
0 days 00:43:47.163000,4,9,,
0 days 00:43:52.649000,4,10,,
0 days 00:43:58.208000,4,1,,
0 days 01:00:58.064000,4,2,,
0 days 01:00:59.407000,4,3,,
0 days 01:01:01.985000,4,4,,
0 days 01:01:15.361000,4,5,,
0 days 01:01:23.923000,4,6,,
0 days 01:01:29.017000,4,7,,
0 days 01:01:38.595000,4,8,,
0 days 01:01:50.611000,4,9,,
0 days 01:01:57.560000,4,10,,
0 days 01:02:15.225000,4,1,,
0 days 01:02:39.830000,4,2,,
0 days 01:02:53.071000,4,3,,
0 days 01:02:59.644000,4,4,,
0 days 01:03:09.034000,4,5,,
0 days 01:03:17.708000,4,6,,
0 days 01:03:24.740000,4,7,,
0 days 01:03:32.813000,4,8,,
0 days 01:03:47.688000,4,9,,
0 days 01:03:59.002000,4,10,,
0 days 01:04:06.320000,4,1,,
0 days 01:04:23.826000,4,2,,
0 days 01:04:31.233000,4,3,,
0 days 01:04:40.530000,4,4,,
0 days 01:04:43.243000,4,5,,
0 days 01:04:49.368000,4,6,,
0 days 01:04:56.432000,4,7,,
0 days 01:05:03.690000,4,8,,
0 days 01:05:18.645000,4,9,,
0 days 01:05:29.989000,4,10,,
0 days 01:05:37.083000,4,2,,
0 days 01:13:46.463000,4,3,,
0 days 00:00:04.094000,16,2,,
0 days 00:12:57.646000,16,3,,
0 days 00:13:03.373000,16,4,,
0 days 00:13:12.061000,16,5,,
0 days 00:13:17.322000,16,6,,
0 days 00:13:23.978000,16,7,,
0 days 00:13:25.791000,16,8,,
0 days 00:13:34.881000,16,9,,
0 days 00:13:46.386000,16,10,,
0 days 00:13:51.407000,16,11,,
0 days 00:13:59.375000,16,12,,
0 days 00:14:07.032000,16,13,,
0 days 00:14:25.063000,16,14,,
0 days 00:14:41.657000,16,2,,
0 days 00:14:48.063000,16,3,,
0 days 00:14:55.204000,16,4,,
0 days 00:15:01.260000,16,5,,
0 days 00:15:06.026000,16,6,,
0 days 00:15:15.495000,16,7,,
0 days 00:15:22.826000,16,8,,
0 days 00:15:30.706000,16,9,,
0 days 00:15:38.909000,16,10,,
0 days 00:15:56.501000,16,11,,
0 days 00:16:03.533000,16,12,,
0 days 00:16:10.965000,16,13,,
0 days 00:16:25.586000,16,14,,
0 days 00:16:50.603000,16,6,,
0 days 00:16:55.891000,16,7,,
0 days 00:17:03.360000,16,8,,
0 days 00:17:28.938000,16,9,,
0 days 00:17:35.916000,16,10,,
0 days 00:18:23.573000,16,6,,
0 days 00:18:28.604000,16,7,,
0 days 00:18:36.649000,16,8,,
0 days 00:19:23.368000,16,7,,
0 days 00:19:27.275000,16,8,,
0 days 00:19:40.951000,16,9,,
0 days 00:21:08.929000,16,10,,
0 days 00:22:00.016000,16,11,,
0 days 00:22:15.657000,16,12,,
0 days 00:22:28.220000,16,13,,
0 days 00:22:33.676000,16,14,,
0 days 00:22:41.332000,16,15,,
0 days 00:22:49.192000,16,16,,
0 days 00:22:55.548000,16,17,,
0 days 00:23:05.033000,16,18,,
0 days 00:23:19.236000,16,19,,
0 days 00:25:31.703000,16,10,,
0 days 00:25:37.343000,16,11,,
