LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,63,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,1,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,44,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,16,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,6,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,12,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,22,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,23,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,27,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,14,,0,5.0,MEDIUM,False,0,0 days 00:52:29.567000,0.0,,5.0,
,18,,0,0.0,HARD,True,0,0 days 00:52:29.567000,0.0,,0.0,
,55,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,10,,0,0.0,MEDIUM,False,0,0 days 00:52:29.567000,0.0,,0.0,
,7,,0,0.0,MEDIUM,False,0,0 days 00:52:29.567000,0.0,,0.0,
,5,,0,0.0,MEDIUM,True,0,0 days 00:52:29.567000,0.0,,0.0,
,30,,0,0.0,HARD,True,0,0 days 00:52:29.567000,0.0,,0.0,
,81,,0,0.0,MEDIUM,True,0,0 days 00:52:34.585000,0.0,,0.0,
,4,,0,0.0,MEDIUM,True,0,0 days 00:52:34.585000,0.0,,0.0,
,31,,0,0.0,MEDIUM,True,0,0 days 00:52:34.585000,0.0,,0.0,
,87,,0,0.0,HARD,True,0,0 days 00:52:34.585000,0.0,,0.0,
,81,,0,1.0,,,,0 days 01:00:44.638000,,,,
,63,,0,1.0,,,,0 days 01:00:44.638000,,,,
,4,,0,1.0,,,,0 days 01:00:44.638000,,,,
,44,,0,1.0,,,,0 days 01:00:44.638000,,,,
,1,,0,1.0,,,,0 days 01:00:49.702000,,,,
,16,,0,1.0,,,,0 days 01:00:49.702000,,,,
,6,,0,1.0,,,,0 days 01:00:49.702000,,,,
,12,,0,1.0,,,,0 days 01:00:49.702000,,,,
,22,,0,1.0,,,,0 days 01:00:49.702000,,,,
,23,,0,1.0,,,,0 days 01:00:49.702000,,,,
,31,,0,1.0,,,,0 days 01:00:49.702000,,,,
,14,,0,6.0,,,,0 days 01:00:49.702000,,,,
,10,,0,1.0,,,,0 days 01:00:49.702000,,,,
,27,,0,1.0,,,,0 days 01:00:54.638000,,,,
,18,,0,1.0,,,,0 days 01:00:54.638000,,,,
,55,,0,1.0,,,,0 days 01:00:54.638000,,,,
,87,,0,1.0,,,,0 days 01:00:54.638000,,,,
,7,,0,1.0,,,,0 days 01:00:54.638000,,,,
,30,,0,1.0,,,,0 days 01:00:54.638000,,,,
,5,,0,1.0,,,,0 days 01:01:09.639000,,,,
,5,,1,0.0,HARD,True,0,0 days 01:01:29.641000,0.0,,0.0,
,81,,0,2.0,,,,0 days 01:02:19.639000,,,,
2.0,81,0 days 00:01:37.551000,0,,,,,0 days 01:02:19.939000,3.0,,,
,63,,0,2.0,,,,0 days 01:02:24.643000,,,,
,4,,0,2.0,,,,0 days 01:02:24.643000,,,,
,1,,0,2.0,,,,0 days 01:02:24.643000,,,,
,44,,0,2.0,,,,0 days 01:02:24.643000,,,,
,16,,0,2.0,,,,0 days 01:02:24.643000,,,,
,12,,0,2.0,,,,0 days 01:02:24.643000,,,,
,81,,0,,,,,0 days 01:02:24.681000,1.0,,,
2.0,63,0 days 00:01:37.463000,0,,,,,0 days 01:02:24.681000,3.0,,,
2.0,4,0 days 00:01:37.713000,0,,,,,0 days 01:02:24.681000,1.0,,,
2.0,1,0 days 00:01:38.304000,0,,,,,0 days 01:02:24.681000,1.0,,,
2.0,44,0 days 00:01:38.172000,0,,,,,0 days 01:02:24.681000,1.0,,,
2.0,16,0 days 00:01:38.184000,0,,,,,0 days 01:02:24.681000,1.0,,,
2.0,12,0 days 00:01:38.347000,0,,,,,0 days 01:02:24.681000,1.0,,,
,6,,0,2.0,,,,0 days 01:02:29.639000,,,,
,22,,0,2.0,,,,0 days 01:02:29.639000,,,,
,23,,0,2.0,,,,0 days 01:02:29.639000,,,,
,31,,0,2.0,,,,0 days 01:02:29.639000,,,,
,14,,0,7.0,,,,0 days 01:02:29.639000,,,,
,18,,0,2.0,,,,0 days 01:02:29.639000,,,,
,10,,0,2.0,,,,0 days 01:02:29.639000,,,,
2.0,6,0 days 00:01:39.261000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,22,0 days 00:01:38.748000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,23,0 days 00:01:39.443000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,31,0 days 00:01:39.106000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,14,0 days 00:01:39.591000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,18,0 days 00:01:39.741000,0,,,,,0 days 01:02:29.652000,1.0,,,
2.0,10,0 days 00:01:39.805000,0,,,,,0 days 01:02:29.652000,1.0,,,
,27,,0,2.0,,,,0 days 01:02:34.639000,,,,
,55,,0,2.0,,,,0 days 01:02:34.639000,,,,
,87,,0,2.0,,,,0 days 01:02:34.639000,,,,
,7,,0,2.0,,,,0 days 01:02:34.639000,,,,
,30,,0,2.0,,,,0 days 01:02:34.639000,,,,
2.0,27,0 days 00:01:39.965000,0,,,,,0 days 01:02:34.720000,1.0,,,
2.0,55,0 days 00:01:39.718000,0,,,,,0 days 01:02:34.720000,1.0,,,
2.0,87,0 days 00:01:39.977000,0,,,,,0 days 01:02:34.720000,1.0,,,
2.0,7,0 days 00:01:40.079000,0,,,,,0 days 01:02:34.720000,1.0,,,
2.0,30,0 days 00:01:39.640000,0,,,,,0 days 01:02:34.720000,1.0,,,
,5,,1,1.0,,,,0 days 01:03:04.639000,,,,
3.0,4,0 days 00:01:37.597000,0,,,,,0 days 01:03:57.932000,,,,
,81,,0,3.0,,,,0 days 01:03:59.659000,,,,
,63,,0,3.0,,,,0 days 01:03:59.659000,,,,
,4,,0,3.0,,,,0 days 01:03:59.659000,,,,
3.0,44,0 days 00:01:37.853000,0,,,,,0 days 01:04:00.162000,,,,
3.0,16,0 days 00:01:38.087000,0,,,,,0 days 01:04:01.330000,,,,
3.0,1,0 days 00:01:38.302000,0,,,,,0 days 01:04:02.165000,,,,
,1,,0,3.0,,,,0 days 01:04:04.661000,,,,
,44,,0,3.0,,,,0 days 01:04:04.661000,,,,
,16,,0,3.0,,,,0 days 01:04:04.661000,,,,
,12,,0,3.0,,,,0 days 01:04:04.661000,,,,
,22,,0,3.0,,,,0 days 01:04:04.661000,,,,
3.0,6,0 days 00:01:39.050000,0,,,,,0 days 01:04:05.774000,,,,
3.0,31,0 days 00:01:39.048000,0,,,,,0 days 01:04:06.336000,,,,
3.0,23,0 days 00:01:39.095000,0,,,,,0 days 01:04:07.188000,,,,
3.0,14,0 days 00:01:39.256000,0,,,,,0 days 01:04:07.961000,,,,
3.0,10,0 days 00:01:39.125000,0,,,,,0 days 01:04:08.293000,,,,
3.0,18,0 days 00:01:39.242000,0,,,,,0 days 01:04:08.972000,,,,
3.0,55,0 days 00:01:39.270000,0,,,,,0 days 01:04:09.566000,,,,
,6,,0,3.0,,,,0 days 01:04:09.661000,,,,
,23,,0,3.0,,,,0 days 01:04:09.661000,,,,
,31,,0,3.0,,,,0 days 01:04:09.661000,,,,
