Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:03.711000,81,1,,
0 days 00:00:06.114000,81,1,LAP 1,LAP 1
0 days 01:00:41.438000,81,1,LAP 2,LAP 2
0 days 01:02:19.031000,81,1,LAP 3,LAP 3
0 days 01:03:56.735000,81,1,LAP 4,LAP 4
0 days 01:05:34.490000,81,1,LAP 5,LAP 5
0 days 01:07:12.597000,81,1,LAP 6,LAP 6
0 days 01:08:50.121000,81,1,LAP 7,LAP 7
0 days 01:10:28.038000,81,1,LAP 8,LAP 8
0 days 01:12:06.294000,81,1,LAP 9,LAP 9
0 days 01:13:44.417000,81,1,LAP 10,LAP 10
0 days 01:15:22.404000,81,1,LAP 11,LAP 11
0 days 01:17:00.545000,81,1,LAP 12,LAP 12
0 days 01:18:38.666000,81,1,LAP 13,LAP 13
0 days 01:20:16.648000,81,1,LAP 14,LAP 14
0 days 01:21:57.540000,81,2,LAP 14,LAP 14
0 days 01:22:07.469000,81,3,LAP 14,LAP 14
0 days 01:22:19.727000,81,4,LAP 14,LAP 14
0 days 01:22:24.065000,81,4,+20.856,+3.036
0 days 01:22:26.887000,81,4,+21.507,+3.539
0 days 01:22:31.934000,81,4,+21.385,+3.432
0 days 01:22:37.352000,81,4,+21.196,+3.293
0 days 01:22:41.593000,81,4,+21.100,+3.168
0 days 01:22:44.548000,81,4,+21.099,+3.171
0 days 01:22:51.765000,81,4,+20.993,+3.194
0 days 01:22:55.590000,81,4,+20.996,+3.196
0 days 01:22:59.961000,81,4,+21.297,+3.343
0 days 01:23:05.650000,81,4,+21.402,+3.333
0 days 01:23:10.292000,81,4,+21.085,+3.077
0 days 01:23:14.274000,81,4,+21.016,+2.987
0 days 01:23:20.509000,81,4,+20.759,+2.809
0 days 01:23:25.890000,81,4,+20.851,+2.751
0 days 01:23:30.319000,81,4,+20.936,+2.785
0 days 01:23:35.174000,81,4,+20.973,+2.807
0 days 01:23:39.037000,81,4,+20.996,+2.828
0 days 01:23:47.422000,81,4,+20.981,+2.732
0 days 01:23:51.436000,81,4,+21.071,+2.731
0 days 01:23:52.298000,81,4,+21.342,+2.688
0 days 01:23:56.741000,81,4,+15.958,+2.715
0 days 01:24:01.178000,81,2,+15.958,+2.715
0 days 01:24:01.281000,81,2,+2.712,+2.712
0 days 01:24:02.448000,81,2,+2.714,+2.714
0 days 01:24:04.748000,81,2,+2.673,+2.673
0 days 01:24:09.994000,81,2,+2.686,+2.686
0 days 01:24:15.340000,81,2,+2.496,+2.496
0 days 01:24:19.597000,81,2,+2.403,+2.403
0 days 01:24:22.586000,81,2,+2.399,+2.399
0 days 01:24:29.773000,81,2,+2.327,+2.327
0 days 01:24:33.458000,81,2,+2.314,+2.314
0 days 01:24:37.674000,81,2,+2.409,+2.409
0 days 01:24:43.402000,81,2,+2.385,+2.385
0 days 01:24:48.144000,81,2,+2.253,+2.253
0 days 01:24:52.149000,81,2,+2.228,+2.228
0 days 01:24:58.302000,81,2,+2.054,+2.054
0 days 01:25:03.690000,81,2,+1.939,+1.939
0 days 01:25:08.101000,81,2,+1.942,+1.942
0 days 01:25:12.916000,81,2,+1.945,+1.945
0 days 01:25:25.023000,81,2,+1.752,+1.752
0 days 01:25:28.980000,81,2,+1.725,+1.725
0 days 01:25:29.728000,81,2,+1.663,+1.663
0 days 01:25:34.278000,81,2,+1.618,+1.618
0 days 01:25:38.575000,81,2,+1.599,+1.599
0 days 01:25:39.849000,81,2,+1.575,+1.575
0 days 01:25:42.045000,81,2,+1.453,+1.453
0 days 01:25:47.099000,81,2,+1.222,+1.222
0 days 01:25:52.450000,81,2,+1.160,+1.160
0 days 01:25:56.749000,81,2,+1.056,+1.056
0 days 01:25:59.734000,81,2,+1.049,+1.049
0 days 01:26:06.830000,81,2,+0.971,+0.971
0 days 01:26:10.602000,81,2,+0.969,+0.969
0 days 01:26:14.838000,81,2,+1.143,+1.143
0 days 01:26:20.676000,81,2,+1.102,+1.102
0 days 01:26:25.395000,81,2,+1.014,+1.014
0 days 01:26:29.391000,81,2,+0.990,+0.990
0 days 01:26:35.576000,81,2,+0.882,+0.882
0 days 01:26:40.999000,81,2,+0.729,+0.729
0 days 01:26:45.278000,81,2,+0.691,+0.691
0 days 01:26:49.985000,81,2,+0.580,+0.580
0 days 01:26:53.602000,81,2,+0.358,+0.358
