LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,12,,0,0.0,UNKNOWN,False,0,0 days 00:12:32.227000,0.0,,0.0,
,12,,0,,MEDIUM,True,,0 days 00:12:37.223000,,,,
,63,,0,0.0,MEDIUM,True,0,0 days 00:12:42.229000,0.0,,0.0,
,5,,0,0.0,UNKNOWN,False,0,0 days 00:12:47.241000,0.0,,0.0,
,5,,0,,MEDIUM,True,,0 days 00:12:52.234000,,,,
,22,,0,0.0,MEDIUM,True,0,0 days 00:12:57.249000,0.0,,0.0,
,1,,0,0.0,MEDIUM,True,0,0 days 00:13:02.249000,0.0,,0.0,
,6,,0,0.0,MEDIUM,True,0,0 days 00:13:22.248000,0.0,,0.0,
,10,,0,0.0,UNKNOWN,False,0,0 days 00:13:27.263000,0.0,,0.0,
,10,,0,,MEDIUM,True,,0 days 00:13:32.263000,,,,
,7,,0,0.0,MEDIUM,True,0,0 days 00:13:42.257000,0.0,,0.0,
,87,,0,0.0,MEDIUM,True,0,0 days 00:13:52.267000,0.0,,0.0,
,31,,0,0.0,UNKNOWN,False,0,0 days 00:13:57.280000,0.0,,0.0,
,31,,0,,MEDIUM,True,,0 days 00:14:02.267000,,,,
,44,,0,0.0,MEDIUM,True,0,0 days 00:14:07.282000,0.0,,0.0,
,16,,0,0.0,MEDIUM,True,0,0 days 00:14:17.282000,0.0,,0.0,
,55,,0,0.0,MEDIUM,True,0,0 days 00:14:22.282000,0.0,,0.0,
,12,,0,1.0,,,,0 days 00:14:27.293000,,,,
,63,,0,1.0,,,,0 days 00:14:32.295000,,,,
,30,,0,0.0,MEDIUM,True,0,0 days 00:14:32.295000,0.0,,0.0,
,23,,0,0.0,UNKNOWN,False,0,0 days 00:14:37.306000,0.0,,0.0,
,23,,0,,MEDIUM,True,,0 days 00:14:42.306000,,,,
,5,,0,1.0,,,,0 days 00:14:42.306000,,,,
,4,,0,0.0,MEDIUM,True,0,0 days 00:14:52.304000,0.0,,0.0,
,22,,0,1.0,,,,0 days 00:14:57.303000,,,,
,81,,0,0.0,MEDIUM,True,0,0 days 00:15:02.303000,0.0,,0.0,
,1,,0,1.0,,,,0 days 00:15:07.315000,,,,
,18,,0,0.0,MEDIUM,True,0,0 days 00:15:12.315000,0.0,,0.0,
,6,,0,1.0,,,,0 days 00:15:12.315000,,,,
,10,,0,1.0,,,,0 days 00:15:22.315000,,,,
,14,,0,0.0,MEDIUM,True,0,0 days 00:15:27.329000,0.0,,0.0,
,27,,0,0.0,UNKNOWN,False,0,0 days 00:15:32.329000,0.0,,0.0,
,27,,0,,MEDIUM,True,,0 days 00:15:37.329000,,,,
,7,,0,1.0,,,,0 days 00:15:37.329000,,,,
,87,,0,1.0,,,,0 days 00:15:42.329000,,,,
,31,,0,1.0,,,,0 days 00:16:02.329000,,,,
,44,,0,1.0,,,,0 days 00:16:07.338000,,,,
,5,,0,2.0,,,,0 days 00:16:12.332000,,,,
3.0,5,0 days 00:01:33.693000,0,,,,,0 days 00:16:12.410000,3.0,,,
,12,,0,2.0,,,,0 days 00:16:17.332000,,,,
3.0,12,0 days 00:01:50.638000,0,,,,,0 days 00:16:17.566000,1.0,,,
,16,,0,1.0,,,,0 days 00:16:27.332000,,,,
,22,,0,2.0,,,,0 days 00:16:27.332000,,,,
3.0,22,0 days 00:01:33.232000,0,,,,,0 days 00:16:27.847000,3.0,,,
,5,,0,,,,,0 days 00:16:27.847000,1.0,,,
,63,,0,2.0,,,,0 days 00:16:32.332000,,,,
3.0,63,0 days 00:01:58.797000,0,,,,,0 days 00:16:32.660000,1.0,,,
,55,,0,1.0,,,,0 days 00:16:37.332000,,,,
,1,,0,2.0,,,,0 days 00:16:37.332000,,,,
,22,,0,,,,,0 days 00:16:37.754000,1.0,,,
3.0,1,0 days 00:01:32.329000,0,,,,,0 days 00:16:37.754000,3.0,,,
,30,,0,1.0,,,,0 days 00:16:42.337000,,,,
,6,,0,2.0,,,,0 days 00:16:47.337000,,,,
3.0,6,0 days 00:01:32.834000,0,,,,,0 days 00:16:47.415000,1.0,,,
,23,,0,1.0,,,,0 days 00:16:52.337000,,,,
,10,,0,2.0,,,,0 days 00:16:57.399000,,,,
3.0,10,0 days 00:01:32.955000,0,,,,,0 days 00:16:57.415000,1.0,,,
,4,,0,1.0,,,,0 days 00:17:02.337000,,,,
,81,,0,1.0,,,,0 days 00:17:07.337000,,,,
,7,,0,2.0,,,,0 days 00:17:07.337000,,,,
3.0,7,0 days 00:01:33.129000,0,,,,,0 days 00:17:07.806000,1.0,,,
,87,,0,2.0,,,,0 days 00:17:17.340000,,,,
3.0,87,0 days 00:01:33.298000,0,,,,,0 days 00:17:17.398000,1.0,,,
,18,,0,1.0,,,,0 days 00:17:22.343000,,,,
,14,,0,1.0,,,,0 days 00:17:27.343000,,,,
,27,,0,1.0,,,,0 days 00:17:32.374000,,,,
,31,,0,2.0,,,,0 days 00:17:32.374000,,,,
3.0,31,0 days 00:01:33.774000,0,,,,,0 days 00:17:32.390000,1.0,,,
,44,,0,2.0,,,,0 days 00:17:42.348000,,,,
3.0,44,0 days 00:01:32.229000,0,,,,,0 days 00:17:42.567000,3.0,,,
,1,,0,,,,,0 days 00:17:42.567000,1.0,,,
4.0,12,0 days 00:01:32.663000,0,,,,,0 days 00:17:48.145000,,,,
,12,,0,3.0,,,,0 days 00:17:52.348000,,,,
,16,,0,2.0,,,,0 days 00:17:57.348000,,,,
3.0,16,0 days 00:01:32.239000,0,,,,,0 days 00:17:58.239000,1.0,,,
,55,,0,2.0,,,,0 days 00:18:07.348000,,,,
3.0,55,0 days 00:01:33.271000,0,,,,,0 days 00:18:07.379000,1.0,,,
,30,,0,2.0,,,,0 days 00:18:17.348000,,,,
3.0,30,0 days 00:01:32.729000,0,,,,,0 days 00:18:17.426000,1.0,,,
,23,,0,2.0,,,,0 days 00:18:22.348000,,,,
3.0,23,0 days 00:01:32.845000,0,,,,,0 days 00:18:22.395000,1.0,,,
,5,,0,3.0,,,,0 days 00:18:27.338000,,,,
,4,,0,2.0,,,,0 days 00:18:32.341000,,,,
,63,,0,3.0,,,,0 days 00:18:32.341000,,,,
3.0,4,0 days 00:01:32.248000,0,,,,,0 days 00:18:32.354000,1.0,,,
,81,,0,2.0,,,,0 days 00:18:37.353000,,,,
3.0,81,0 days 00:01:31.723000,0,,,,,0 days 00:18:37.454000,3.0,,,
,44,,0,,,,,0 days 00:18:37.454000,1.0,,,
,22,,0,3.0,,,,0 days 00:18:47.347000,,,,
,1,,0,3.0,,,,0 days 00:18:47.347000,,,,
,18,,0,2.0,,,,0 days 00:18:57.347000,,,,
,6,,0,3.0,,,,0 days 00:18:57.347000,,,,
3.0,18,0 days 00:01:32.961000,0,,,,,0 days 00:18:57.566000,1.0,,,
,14,,0,2.0,,,,0 days 00:19:02.347000,,,,
,10,,0,3.0,,,,0 days 00:19:02.347000,,,,
3.0,14,0 days 00:01:32.121000,0,,,,,0 days 00:19:02.519000,1.0,,,
,27,,0,2.0,,,,0 days 00:19:07.347000,,,,
3.0,27,0 days 00:01:32.675000,0,,,,,0 days 00:19:07.753000,1.0,,,
,7,,0,3.0,,,,0 days 00:19:12.354000,,,,
,87,,0,3.0,,,,0 days 00:19:27.339000,,,,
,31,,0,3.0,,,,0 days 00:19:42.352000,,,,
,44,,0,3.0,,,,0 days 00:19:52.352000,,,,
,12,,0,4.0,,,,0 days 00:19:57.343000,,,,
5.0,63,0 days 00:01:32.290000,0,,,,,0 days 00:20:04.535000,,,,
,16,,0,3.0,,,,0 days 00:20:07.354000,,,,
,63,,0,4.0,,,,0 days 00:20:07.354000,,,,
,55,,0,3.0,,,,0 days 00:20:12.346000,,,,
,30,,0,3.0,,,,0 days 00:20:22.357000,,,,
,23,,0,3.0,,,,0 days 00:20:32.348000,,,,
,4,,0,3.0,,,,0 days 00:20:37.363000,,,,
,81,,0,3.0,,,,0 days 00:20:42.348000,,,,
,12,,1,4.0,MEDIUM,False,1,0 days 00:20:42.348000,0.0,,4.0,
,55,,1,3.0,MEDIUM,False,1,0 days 00:20:47.363000,0.0,,3.0,
,18,,0,3.0,,,,0 days 00:20:57.363000,,,,
,6,,1,0.0,UNKNOWN,False,1,0 days 00:20:57.363000,0.0,,0.0,
,6,,1,3.0,MEDIUM,,,0 days 00:21:02.363000,,,3.0,
,27,,0,3.0,,,,0 days 00:21:07.355000,,,,
,14,,0,3.0,,,,0 days 00:21:07.355000,,,,
,22,,1,3.0,MEDIUM,False,1,0 days 00:21:12.360000,0.0,,3.0,
