Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:16:57.349000,4,,1,0,0 days 00:14:48.482000,,,0 days 00:00:35.498000,0 days 00:00:51.392000,,0 days 00:16:05.977000,0 days 00:16:57.415000,236.0,247.0,271.0,308.0,False
0 days 00:18:29.597000,4,0 days 00:01:32.248000,2,0,,,0 days 00:00:24.618000,0 days 00:00:27.789000,0 days 00:00:39.841000,0 days 00:17:21.967000,0 days 00:17:49.756000,0 days 00:18:29.597000,281.0,275.0,271.0,330.0,True
0 days 00:20:32.738000,4,0 days 00:02:03.141000,3,0,,,0 days 00:00:34.193000,0 days 00:00:38.202000,0 days 00:00:50.746000,0 days 00:19:03.790000,0 days 00:19:41.992000,0 days 00:20:32.738000,170.0,212.0,168.0,276.0,False
0 days 00:22:38.639000,4,0 days 00:02:05.901000,4,0,,,0 days 00:00:38.528000,0 days 00:00:35.518000,0 days 00:00:51.855000,0 days 00:21:11.266000,0 days 00:21:46.784000,0 days 00:22:38.639000,200.0,239.0,271.0,308.0,False
0 days 00:24:10.035000,4,0 days 00:01:31.396000,5,0,,,0 days 00:00:24.207000,0 days 00:00:27.555000,0 days 00:00:39.634000,0 days 00:23:02.846000,0 days 00:23:30.401000,0 days 00:24:10.035000,281.0,276.0,273.0,333.0,True
0 days 00:26:16.460000,4,0 days 00:02:06.425000,6,1,,0 days 00:26:14.747000,0 days 00:00:32.385000,0 days 00:00:34.562000,0 days 00:00:59.478000,0 days 00:24:42.420000,0 days 00:25:16.982000,0 days 00:26:16.460000,161.0,180.0,,165.0,False
0 days 00:33:56.277000,4,,7,1,0 days 00:32:03.140000,,,0 days 00:00:31.673000,0 days 00:00:50.942000,,0 days 00:33:05.398000,0 days 00:33:56.391000,262.0,252.0,270.0,311.0,False
0 days 00:35:27.451000,4,0 days 00:01:31.174000,8,1,,,0 days 00:00:24.278000,0 days 00:00:27.499000,0 days 00:00:39.397000,0 days 00:34:20.555000,0 days 00:34:48.054000,0 days 00:35:27.451000,279.0,275.0,271.0,330.0,True
0 days 00:37:34.240000,4,0 days 00:02:06.789000,9,2,,0 days 00:37:32.458000,0 days 00:00:31.850000,0 days 00:00:37.808000,0 days 00:00:57.131000,0 days 00:35:59.301000,0 days 00:36:37.109000,0 days 00:37:34.240000,160.0,210.0,,244.0,False
0 days 00:50:44.735000,4,,10,2,0 days 00:48:58.028000,,,0 days 00:00:31.965000,0 days 00:00:47.840000,,0 days 00:49:56.963000,0 days 00:50:44.735000,258.0,256.0,271.0,312.0,False
