Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:08.594000,4,1,,
0 days 00:12:32.077000,4,2,,
0 days 00:12:37.395000,4,3,,
0 days 00:12:46.910000,4,4,,
0 days 00:12:55.368000,4,5,,
0 days 00:13:01.086000,4,6,,
0 days 00:13:18.326000,4,7,,
0 days 00:13:26.591000,4,8,,
0 days 00:13:38.445000,4,9,,
0 days 00:13:47.651000,4,10,,
0 days 00:13:56.011000,4,11,,
0 days 00:14:05.110000,4,12,,
0 days 00:14:12.782000,4,13,,
0 days 00:14:20.173000,4,14,,
0 days 00:14:29.454000,4,15,,
0 days 00:14:37.243000,4,16,,
0 days 00:14:48.482000,4,4,,
0 days 00:14:52.992000,4,5,,
0 days 00:15:03.599000,4,6,,
0 days 00:15:11.190000,4,7,,
0 days 00:15:22.018000,4,8,,
0 days 00:15:33.313000,4,9,,
0 days 00:15:41.813000,4,10,,
0 days 00:15:57.501000,4,11,,
0 days 00:16:05.454000,4,12,,
0 days 00:16:23.035000,4,13,,
0 days 00:16:34.160000,4,14,,
0 days 00:16:40.524000,4,15,,
0 days 00:16:48.680000,4,16,,
0 days 00:16:57.415000,4,8,,
0 days 00:17:06.352000,4,9,,
0 days 00:17:15.009000,4,10,,
0 days 00:17:31.265000,4,11,,
0 days 00:17:37.900000,4,12,,
0 days 00:17:55.364000,4,13,,
0 days 00:18:07.379000,4,14,,
0 days 00:18:13.145000,4,15,,
0 days 00:18:21.426000,4,16,,
0 days 00:18:29.717000,4,3,,
0 days 00:18:36.098000,4,4,,
0 days 00:18:57.831000,4,5,,
0 days 00:24:10.138000,4,1,,
0 days 00:25:26.631000,4,2,,
0 days 00:31:31.613000,4,3,,
0 days 00:31:37.426000,4,4,,
0 days 00:31:47.145000,4,5,,
0 days 00:31:54.535000,4,6,,
0 days 00:32:03.140000,4,1,,
0 days 00:32:20.687000,4,2,,
0 days 00:33:25.977000,4,3,,
0 days 00:33:33.367000,4,4,,
0 days 00:33:38.102000,4,5,,
0 days 00:33:48.961000,4,6,,
0 days 00:33:56.391000,4,1,,
0 days 00:34:15.097000,4,2,,
0 days 00:35:14.296000,4,3,,
0 days 00:35:20.535000,4,4,,
0 days 00:35:21.816000,4,5,,
0 days 00:35:27.551000,4,1,,
0 days 00:48:47.231000,4,2,,
0 days 00:48:58.028000,4,1,,
0 days 00:50:37.470000,4,2,,
0 days 00:50:44.735000,4,1,,
0 days 00:52:08.467000,4,2,,
0 days 00:52:30.727000,4,3,,
0 days 00:55:31.089000,4,4,,
0 days 00:55:40.416000,4,5,,
0 days 00:56:57.352000,4,6,,
0 days 00:00:08.594000,16,2,,
0 days 00:12:32.077000,16,3,,
0 days 00:12:37.395000,16,4,,
0 days 00:12:46.910000,16,5,,
0 days 00:12:55.368000,16,6,,
0 days 00:13:01.086000,16,7,,
0 days 00:13:18.326000,16,8,,
0 days 00:13:26.591000,16,9,,
0 days 00:13:38.445000,16,10,,
0 days 00:13:47.651000,16,11,,
0 days 00:13:56.011000,16,12,,
0 days 00:14:05.110000,16,13,,
0 days 00:14:12.782000,16,1,,
0 days 00:14:24.929000,16,2,,
0 days 00:14:29.339000,16,3,,
