LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,44,,0,6.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,6.0,
,1,,0,3.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,3.0,
,81,,0,4.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,4.0,
,16,,0,6.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,6.0,
,63,,0,8.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,8.0,
,4,,0,3.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,3.0,
,12,,0,7.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,7.0,
,22,,0,3.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,3.0,
,23,,0,4.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,4.0,
,18,,0,3.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,3.0,
,14,,0,3.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,3.0,
,55,,0,4.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,4.0,
,5,,0,6.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,6.0,
,6,,0,2.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,2.0,
,30,,0,5.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,5.0,
,27,,0,6.0,MEDIUM,False,0,0 days 00:38:34.896000,0.0,,6.0,
,87,,0,3.0,MEDIUM,False,0,0 days 00:38:39.917000,0.0,,3.0,
,7,,0,6.0,MEDIUM,False,0,0 days 00:38:39.917000,0.0,,6.0,
,10,,0,6.0,MEDIUM,False,0,0 days 00:38:39.917000,0.0,,6.0,
,31,,0,6.0,MEDIUM,False,0,0 days 00:38:39.917000,0.0,,6.0,
,44,,0,7.0,,,,0 days 00:46:54.961000,,,,
,1,,0,4.0,,,,0 days 00:46:54.961000,,,,
,81,,0,5.0,,,,0 days 00:46:54.961000,,,,
,16,,0,7.0,,,,0 days 00:46:54.961000,,,,
,63,,0,9.0,,,,0 days 00:46:54.961000,,,,
,22,,0,4.0,,,,0 days 00:46:54.961000,,,,
,4,,0,4.0,,,,0 days 00:46:59.958000,,,,
,12,,0,8.0,,,,0 days 00:46:59.958000,,,,
,23,,0,5.0,,,,0 days 00:46:59.958000,,,,
,18,,0,4.0,,,,0 days 00:46:59.958000,,,,
,14,,0,4.0,,,,0 days 00:46:59.958000,,,,
,87,,0,4.0,,,,0 days 00:46:59.958000,,,,
,55,,0,5.0,,,,0 days 00:46:59.958000,,,,
,5,,0,7.0,,,,0 days 00:46:59.958000,,,,
,6,,0,3.0,,,,0 days 00:46:59.958000,,,,
,10,,0,7.0,,,,0 days 00:46:59.958000,,,,
,7,,0,7.0,,,,0 days 00:47:04.959000,,,,
,31,,0,7.0,,,,0 days 00:47:04.959000,,,,
,30,,0,6.0,,,,0 days 00:47:04.959000,,,,
,27,,0,7.0,,,,0 days 00:47:04.959000,,,,
,44,,0,8.0,,,,0 days 00:48:29.970000,,,,
,1,,0,5.0,,,,0 days 00:48:29.970000,,,,
,81,,0,6.0,,,,0 days 00:48:29.970000,,,,
2.0,44,0 days 00:01:35.399000,0,,,,,0 days 00:48:29.985000,3.0,,,
2.0,1,0 days 00:01:35.745000,0,,,,,0 days 00:48:29.985000,1.0,,,
2.0,81,0 days 00:01:36.086000,0,,,,,0 days 00:48:29.985000,1.0,,,
