Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:09.326000,44,1,LAP 1,LAP 1
0 days 00:46:50.385000,44,1,LAP 2,LAP 2
0 days 00:48:25.788000,44,1,LAP 3,LAP 3
0 days 00:50:01.890000,44,1,LAP 4,LAP 4
0 days 00:51:37.960000,44,1,LAP 5,LAP 5
0 days 00:53:14.661000,44,1,LAP 6,LAP 6
0 days 00:54:51.020000,44,1,LAP 7,LAP 7
0 days 00:56:27.636000,44,1,LAP 8,LAP 8
0 days 00:58:03.637000,44,1,LAP 9,LAP 9
0 days 00:59:40.564000,44,1,LAP 10,LAP 10
0 days 01:01:17.438000,44,1,LAP 11,LAP 11
0 days 01:02:54.119000,44,1,LAP 12,LAP 12
0 days 01:04:31.059000,44,1,LAP 13,LAP 13
0 days 01:04:31.064000,44,1,LAP 12,LAP 12
0 days 01:04:31.064000,44,1,LAP 13,LAP 13
0 days 01:06:08.449000,44,1,LAP 14,LAP 14
0 days 01:07:45.967000,44,1,LAP 15,LAP 15
0 days 01:09:23.986000,44,1,LAP 16,LAP 16
0 days 01:11:01.638000,44,1,LAP 17,LAP 17
0 days 01:12:39.370000,44,1,LAP 18,LAP 18
0 days 01:14:16.573000,44,1,LAP 19,LAP 19
0 days 00:00:09.326000,1,2,,
0 days 00:45:19.659000,1,2,+0.124,+0.124
0 days 00:45:20.911000,1,2,+0.102,+0.102
0 days 00:45:23.388000,1,2,+0.241,+0.241
0 days 00:45:28.438000,1,2,+0.485,+0.485
0 days 00:45:33.933000,1,2,+0.530,+0.530
0 days 00:45:38.019000,1,2,+0.572,+0.572
0 days 00:45:41.013000,1,2,+0.555,+0.555
0 days 00:45:47.988000,1,2,+0.695,+0.695
0 days 00:45:51.636000,1,2,+0.694,+0.694
0 days 00:45:55.631000,1,2,+0.671,+0.671
0 days 00:46:01.247000,1,2,+0.808,+0.808
0 days 00:46:05.758000,1,2,+0.787,+0.787
0 days 00:46:09.670000,1,2,+0.769,+0.769
0 days 00:46:15.761000,1,2,+0.849,+0.849
0 days 00:46:20.864000,1,2,+0.900,+0.900
0 days 00:46:25.058000,1,2,+0.894,+0.894
0 days 00:46:29.825000,1,2,+0.871,+0.871
0 days 00:46:33.652000,1,2,+0.839,+0.839
0 days 00:46:42.058000,1,2,+0.940,+0.940
0 days 00:46:45.907000,1,2,+0.949,+0.949
0 days 00:46:46.774000,1,2,+0.901,+0.901
0 days 00:46:51.091000,1,2,+0.771,+0.771
0 days 00:46:55.547000,1,2,+0.722,+0.722
0 days 00:46:56.709000,1,2,+0.697,+0.697
0 days 00:46:59.003000,1,2,+0.664,+0.664
0 days 00:47:04.011000,1,2,+0.830,+0.830
0 days 00:47:09.318000,1,2,+0.793,+0.793
0 days 00:47:13.478000,1,2,+0.845,+0.845
0 days 00:47:16.437000,1,2,+0.834,+0.834
0 days 00:47:23.393000,1,2,+0.946,+0.946
0 days 00:47:27.147000,1,2,+0.934,+0.934
0 days 00:47:31.129000,1,2,+0.830,+0.830
0 days 00:47:36.806000,1,2,+0.824,+0.824
0 days 00:47:41.358000,1,2,+0.950,+0.950
