year,round,event,session,endpoint,file,rows,error
2025,1,Australian Grand Prix,Practice 1,timing_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_timing_data.json,,
2025,1,Australian Grand Prix,Practice 1,timing_app_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_timing_app_data.csv,687.0,
2025,1,Australian Grand Prix,Practice 1,car_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_car_data.json,,
2025,1,Australian Grand Prix,Practice 1,position_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_position_data.json,,
2025,1,Australian Grand Prix,Practice 1,track_status_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_track_status_data.json,,
2025,1,Australian Grand Prix,Practice 1,session_status,,,missing_endpoint
2025,1,Australian Grand Prix,Practice 1,session_status_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_session_status_data.json,,
2025,1,Australian Grand Prix,Practice 1,race_control_messages,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_race_control_messages.json,,
2025,1,Australian Grand Prix,Practice 1,lap_count,,,"No data for this session! If this session only finished recently, please try again in a few minutes."
2025,1,Australian Grand Prix,Practice 1,driver_info,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_driver_info.json,,
2025,1,Australian Grand Prix,Practice 1,weather_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_1_weather_data.json,,
2025,1,Australian Grand Prix,Practice 2,timing_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_2_timing_data.json,,
2025,1,Australian Grand Prix,Practice 2,timing_app_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_2_timing_app_data.csv,838.0,
2025,1,Australian Grand Prix,Practice 2,car_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_2_car_data.json,,
2025,1,Australian Grand Prix,Practice 2,position_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_2_position_data.json,,
2025,1,Australian Grand Prix,Practice 2,track_status_data,fastf1_season_data/2025_R1_Australian_Grand_Prix_Practice_2_track_status_data.json,,
2025,1,Australian Grand Prix,Practice 2,session_status,,,missing_endpoint
